mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
519222,0,0,0,50,0,1,0,0,0,0,0,0
519242,0,0,0,0,0,0,0,0,0,0,0,2
519293,0,0,0,0,0,0,0,0,0,0,65,0
519306,0,0,0,0,0,1,0,5,0,5,0,0
519317,0,0,0,0,0,65,4,34,0,38,0,0
519326,0,0,0,0,0,0,0,0,0,0,66,0
519390,17,0,0,19,0,26,0,0,0,0,0,0
520980,0,0,0,0,0,0,0,0,0,0,3,0
521230,0,0,0,0,0,0,0,0,0,0,58,0
521692,0,0,0,77,0,40,0,0,0,0,0,0
523260,0,0,0,0,0,0,0,0,0,0,42,1
527038,45,61,34,0,0,26,0,0,0,0,0,0
527048,0,0,0,0,0,0,0,0,0,0,0,32
527055,0,0,0,0,0,0,0,0,0,0,7,0
528748,0,0,0,0,0,0,0,0,0,0,2,9
541640,0,0,0,0,0,0,0,0,0,0,58,2
541645,0,0,0,0,0,11,0,86,0,86,0,0
542194,37,0,1,49,0,10,0,0,0,0,4,0
542255,0,0,0,0,2,1,6,2,0,10,0,0
542303,0,0,0,0,0,72,52,0,0,52,0,0
542340,0,29,28,0,0,1,0,0,2,0,0,0
542364,0,0,0,0,67,22,11,19,0,97,0,0
542583,63,0,4,0,0,60,0,0,0,0,0,0
542585,0,0,0,0,0,0,0,0,0,0,28,0
542881,0,0,0,0,0,0,0,0,0,0,2,28
542888,0,0,0,0,0,0,0,0,0,0,47,3
542914,0,0,0,0,0,0,0,0,0,0,73,0
542921,2,0,0,0,0,3,4,0,0,4,0,0
542932,0,47,37,0,3,3,16,0,10,19,0,0
542947,0,0,0,0,0,0,0,0,0,0,54,1
542963,0,0,0,1,0,0,0,0,0,0,0,0
543037,0,0,0,0,0,0,0,0,0,0,0,33
543056,0,0,0,0,0,0,0,0,0,0,10,0
543063,0,0,0,0,0,0,0,0,116,0,0,0
543068,121,0,0,0,0,28,0,0,0,0,0,0
543101,0,0,0,0,0,0,0,0,0,0,0,5
543105,0,0,0,0,0,10,0,1,0,1,0,0
543135,0,0,0,0,0,0,0,0,0,0,0,20
543228,0,0,0,69,0,9,0,0,0,0,0,0
543238,0,0,0,0,0,0,0,0,0,0,22,0
543243,0,0,0,0,0,0,0,0,0,0,0,24
543257,0,0,0,0,0,3,69,59,0,128,0,0
543272,0,0,0,0,0,0,0,0,0,0,55,0
543281,0,90,23,0,0,4,2,0,2,2,3,0
543294,0,0,0,0,0,0,0,0,0,0,0,16
543305,0,0,0,0,81,1,55,0,0,136,0,0
543309,0,0,0,82,0,1,0,0,0,0,0,0
543333,102,0,0,0,0,2,0,0,0,0,0,0
543339,0,0,0,0,0,0,0,0,0,0,25,0
543351,0,0,0,0,0,0,0,0,0,0,2,0
543475,0,0,0,0,0,0,0,0,0,0,0,32
543507,0,0,0,0,0,0,0,0,0,0,26,0
543510,3,0,0,60,0,0,0,0,0,0,0,0
543521,0,0,0,0,0,0,0,0,0,0,58,0
543543,0,0,27,0,0,22,28,3,0,31,0,0
543548,0,0,0,0,0,0,0,0,0,0,7,0
543592,0,2,1,101,0,6,0,0,0,0,0,0
543606,0,0,0,0,0,0,0,0,0,0,0,22
543685,0,0,47,0,0,0,0,0,0,0,0,0
543760,0,148,0,0,0,0,0,0,17,0,0,0
543766,0,0,0,0,0,0,0,0,0,0,58,2
543768,3,0,0,0,0,3,0,0,0,0,0,0
543807,0,0,0,0,86,40,0,26,0,112,0,0
543829,0,0,0,0,4,1,3,0,13,7,1,0
543877,9,1,0,108,0,1,0,0,0,0,0,0
543901,0,0,0,0,0,0,0,0,0,0,5,0
543939,0,131,0,0,0,1,0,0,1,0,0,0
544365,0,0,0,0,0,0,0,0,0,0,35,0
544369,0,0,0,0,0,0,0,0,61,0,0,0
544725,0,47,6,0,4,5,9,15,19,28,0,0
544727,0,0,0,0,0,0,0,0,0,0,48,0
544931,0,0,0,0,0,0,0,0,0,0,0,1
545121,0,4,43,0,0,0,0,0,15,0,1,0
545341,0,0,0,0,52,1,0,106,0,158,1,0
545343,0,0,0,0,0,0,0,0,0,0,28,0
545350,0,0,0,0,14,0,12,4,0,30,0,0
545358,0,0,0,97,0,1,0,0,0,0,0,0
545361,0,0,0,0,111,7,0,0,0,111,0,0
546318,0,0,0,0,48,0,11,7,0,66,0,0
546990,0,0,0,0,1,0,1,1,0,3,0,0
546991,0,0,0,0,23,1,17,28,0,68,0,0
547001,0,0,0,0,0,0,0,0,0,0,10,2
547172,0,1,0,1,0,1,0,0,0,0,0,0
