mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
112526,0,0,0,0,0,0,0,0,0,0,4,24
134181,0,0,70,0,0,44,0,0,0,0,0,0
279571,0,0,0,0,0,0,0,0,0,0,33,0
282332,0,0,0,0,0,0,0,0,0,0,0,29
400085,0,0,0,0,0,2,11,1,0,12,0,0
400121,1,0,0,0,0,123,0,0,0,0,0,0
400284,2,50,0,0,0,0,0,0,0,0,0,0
405395,70,0,0,0,0,47,0,0,0,0,0,0
407812,1,0,0,0,0,1,13,0,0,13,0,0
407822,0,0,0,0,0,0,0,0,0,0,59,0
407845,0,0,0,0,0,0,0,0,0,0,68,0
408045,90,0,0,1,0,33,0,1,0,1,0,0
408234,32,0,0,0,0,5,0,0,0,0,0,0
408236,48,0,0,0,0,0,0,0,0,0,0,0
408252,0,5,4,0,0,0,0,0,0,0,0,0
408314,0,13,28,0,0,0,0,0,25,0,1,0
424144,0,0,0,0,0,0,0,0,0,0,51,0
425492,0,0,0,0,0,0,0,0,0,0,58,0
425772,0,1,0,63,0,0,0,0,0,0,1,0
425783,0,0,0,0,0,85,26,34,0,60,0,0
425784,2,0,0,29,0,1,0,0,0,0,0,0
425794,0,0,0,0,0,0,0,0,0,0,0,8
425844,0,0,0,0,0,0,0,0,0,0,0,33
425877,5,0,0,121,0,0,0,0,0,0,0,0
429664,14,69,2,0,0,2,0,0,0,0,0,0
429665,23,0,0,0,0,115,0,0,0,0,0,0
429719,0,0,0,0,0,0,0,0,0,0,0,17
429722,0,0,0,0,0,0,0,0,0,0,0,5
430641,0,0,0,0,0,0,0,0,0,0,21,0
430832,2,1,21,0,0,3,14,64,0,78,0,0
430935,0,0,0,0,0,0,0,0,0,0,0,32
430945,0,0,0,0,106,6,2,33,0,141,0,0
431145,0,0,21,71,0,0,1,0,3,1,0,0
431151,0,0,1,0,0,0,0,0,0,0,0,0
433586,0,0,0,0,0,0,0,0,0,0,26,0
433587,0,0,0,0,0,0,0,0,0,0,1,28
433589,0,0,0,0,0,0,0,0,0,0,74,0
434158,0,0,0,0,2,21,44,45,0,91,0,0
434378,0,0,0,0,0,0,0,0,0,0,0,34
434538,0,0,0,0,0,0,0,0,0,0,1,26
434628,0,0,0,0,0,0,0,0,0,0,21,18
434658,0,0,0,0,47,12,30,2,0,79,0,0
434670,25,0,0,0,0,19,0,0,0,0,0,0
434671,0,0,0,0,0,0,0,0,0,0,1,24
434778,18,0,1,0,0,99,0,0,0,0,1,0
435043,0,0,0,0,0,0,0,0,0,0,72,0
435062,2,33,0,0,0,0,6,0,0,6,0,0
435064,0,0,0,47,0,0,0,0,0,0,0,0
435079,0,128,0,0,0,0,0,0,0,0,0,0
435221,0,0,0,0,0,0,0,0,0,0,0,15
435263,0,0,0,62,0,1,0,0,0,0,0,0
435522,42,32,25,0,0,5,1,15,0,16,0,0
435559,0,0,0,93,0,4,0,0,0,0,0,0
435622,138,0,0,0,2,2,18,0,3,20,0,0
443558,0,0,0,0,0,136,0,4,0,4,0,0
444432,3,0,0,0,0,65,0,19,0,19,0,0
444468,0,0,0,0,0,0,0,0,0,0,63,0
444482,0,0,0,0,0,0,138,5,0,143,0,0
444489,1,0,0,92,0,0,0,0,0,0,0,0
444876,0,3,29,0,6,0,0,0,104,6,0,0
445055,0,0,0,0,25,7,41,54,0,120,0,0
