mlbam_id,1B,2B,3B,C,CF,DH,LF,SP,RF,SS,OF,RP
660162,0,0,52,0,0,0,0,0,0,0,0,0
660271,0,0,0,0,0,40,0,2,0,0,0,0
660294,0,0,14,0,0,22,16,0,0,0,16,0
660422,0,0,0,0,0,0,0,1,0,0,0,1
660431,0,0,0,0,0,0,0,1,0,0,0,1
660600,0,0,0,0,0,0,0,22,0,0,0,22
660620,0,16,6,0,0,1,0,0,0,4,0,0
660623,0,0,0,0,0,0,0,9,0,0,0,4
660670,0,0,0,0,34,0,0,0,28,0,62,0
660688,0,0,0,2,0,0,0,0,0,0,0,0
660731,0,4,0,0,0,1,0,0,0,18,0,0
660761,0,0,0,0,0,0,0,2,0,0,0,0
660813,0,0,0,0,0,0,0,23,0,0,0,21
660821,0,0,0,0,0,0,0,0,10,0,10,0
660896,0,0,0,0,0,0,0,16,0,0,0,16
661255,0,0,0,0,0,0,0,20,0,0,0,20
661388,0,0,0,4,0,0,0,0,0,0,0,0
661440,0,0,0,0,0,0,0,1,0,0,0,1
662139,0,0,0,10,14,5,5,0,0,0,19,0
663330,0,2,0,0,0,0,0,0,0,0,0,0
663366,0,0,0,0,0,0,0,5,0,0,0,5
663399,0,0,0,0,0,0,0,2,0,0,0,2
663411,0,0,0,0,0,0,3,0,1,0,4,0
663423,0,0,0,0,0,0,0,3,0,0,0,0
663432,0,0,0,0,0,0,0,20,0,0,0,20
663460,0,0,0,0,0,0,0,10,0,0,0,0
663465,0,0,0,0,0,0,0,11,0,0,0,3
663474,0,0,0,0,0,0,0,8,0,0,0,2
663531,0,0,0,0,0,0,0,3,0,0,0,3
663538,0,37,6,0,1,0,1,0,0,10,2,0
663554,0,0,0,0,0,0,0,7,0,0,0,0
663586,4,0,46,0,0,0,4,0,0,0,4,0
663611,0,29,0,0,0,0,0,0,0,0,0,0
663624,10,0,0,0,0,2,25,0,0,0,25,0
663647,0,0,24,0,0,0,0,0,0,0,0,0
663656,0,0,0,0,0,10,41,0,7,0,48,0
663662,0,0,0,0,0,0,0,0,16,0,16,0
663698,0,0,0,32,0,1,0,0,0,0,0,0
663734,0,0,0,0,0,0,0,4,0,0,0,4
663757,0,0,0,0,59,0,0,0,0,0,59,0
663765,0,0,0,0,0,0,0,12,0,0,0,11
663770,0,0,0,0,0,0,0,4,0,0,0,4
663776,0,0,0,0,0,0,0,9,0,0,0,3
663878,0,0,0,0,0,0,0,5,0,0,0,1
663886,0,0,0,4,0,3,0,0,0,0,0,0
663898,0,5,0,0,0,1,0,0,0,1,0,0
663903,0,0,0,0,0,0,0,12,0,0,0,0
663905,0,1,0,0,0,0,0,0,0,0,0,0
663978,0,0,0,0,0,0,0,12,0,0,0,0
663992,0,0,0,0,0,0,0,1,0,0,0,1
663993,15,0,2,0,0,3,0,0,0,0,0,0
664023,2,0,0,0,51,1,28,0,7,0,86,0
664029,1,1,0,0,1,1,4,0,8,0,13,0
664034,5,10,6,0,0,19,0,0,0,0,0,0
664040,1,44,0,0,0,4,5,0,7,0,12,0
664041,0,0,0,0,0,0,0,0,4,0,4,0
664042,0,0,0,0,0,0,0,22,0,0,0,22
664045,0,0,0,0,0,0,0,12,0,0,0,8
664054,0,0,0,0,0,0,0,11,0,0,0,11
664056,0,0,0,0,49,0,0,0,0,0,49,0
664057,0,0,0,0,1,0,9,0,4,0,14,0
664058,0,15,8,0,0,0,0,0,1,27,1,0
664059,0,0,1,0,0,1,10,0,1,0,11,0
664062,0,0,0,0,0,0,0,9,0,0,0,1
664068,0,29,0,0,9,0,0,0,0,1,9,0
664069,0,0,0,0,0,0,0,3,0,0,0,2
664074,0,0,0,0,0,0,0,5,0,0,0,2
664076,0,0,0,0,0,0,0,1,0,0,0,1
664092,0,0,0,0,0,0,0,6,0,0,0,6
664119,0,0,0,14,0,0,0,0,0,0,0,0
664126,0,0,0,0,0,0,0,27,0,0,0,25
664129,0,0,0,0,0,0,0,21,0,0,0,21
664139,0,0,0,0,0,0,0,14,0,0,0,14
664141,0,0,0,0,0,0,0,11,0,0,0,2
664157,0,0,0,0,0,0,0,8,0,0,0,8
664180,0,0,0,0,0,0,0,4,0,0,0,3
664192,0,0,0,0,0,0,0,3,0,0,0,1
664199,0,0,0,0,0,0,0,12,0,0,0,7
