mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
112526,0,0,0,0,0,0,0,0,0,0,1,33
120074,1,0,0,0,0,140,0,0,0,0,0,0
121347,0,0,1,0,0,57,0,0,0,0,0,0
134181,0,0,141,0,0,12,0,0,0,0,0,0
136860,0,0,0,0,0,73,0,69,0,69,0,0
150029,0,0,0,0,0,6,131,2,0,133,0,0
150229,0,0,0,64,0,0,0,0,0,0,0,0
150274,0,0,0,0,0,0,0,0,0,0,10,0
276351,0,0,0,0,0,0,0,0,0,0,67,0
276519,0,0,0,0,0,4,0,0,35,0,0,0
276542,0,0,0,0,0,0,0,0,0,0,51,0
279571,0,0,0,0,0,0,0,0,0,0,40,0
282332,0,0,0,0,0,0,0,0,0,0,0,30
285064,0,0,0,0,0,0,0,0,0,0,10,14
285079,0,0,0,0,0,0,0,0,0,0,1,29
346798,0,0,0,0,0,0,0,0,0,0,0,2
346874,0,0,68,0,0,1,0,0,0,0,0,0
400085,0,0,0,0,14,3,14,54,0,82,0,0
400121,5,0,0,0,0,138,0,0,0,0,0,0
400284,0,134,1,0,0,0,0,0,0,0,0,0
405395,28,0,0,0,0,123,0,0,0,0,0,0
407781,0,0,0,0,0,1,14,21,0,35,0,0
407793,0,0,0,0,0,0,0,0,0,0,0,29
407812,10,0,0,0,0,8,85,0,0,85,0,0
407819,0,0,0,0,0,0,0,0,0,0,18,0
407822,0,0,0,0,0,0,0,0,0,0,3,24
407845,0,0,0,0,0,0,0,0,0,0,67,0
407890,0,0,0,0,0,0,0,0,0,0,0,19
407893,110,0,0,0,0,4,0,0,0,0,0,0
407908,0,0,0,0,0,0,0,0,0,0,31,0
408045,95,0,0,0,0,33,0,0,0,0,0,0
408047,0,0,0,0,0,53,0,0,0,0,0,0
408061,0,0,0,0,0,0,0,0,0,0,61,0
408234,147,0,1,0,0,8,0,0,0,0,0,0
408236,151,0,0,0,0,2,0,0,0,0,0,0
408241,0,0,0,0,0,0,0,0,0,0,10,21
408252,0,138,0,0,0,3,0,0,0,0,0,0
408299,0,39,0,0,0,0,0,0,0,0,0,0
408307,0,0,0,0,0,4,21,0,0,21,0,0
408314,0,0,50,0,0,0,0,0,13,0,0,0
424144,0,0,0,0,0,0,0,0,0,0,64,0
424325,0,0,0,58,0,0,0,0,0,0,0,0
424825,0,0,0,0,36,14,71,0,0,107,0,0
425426,0,0,0,0,0,0,0,0,0,0,38,0
425492,0,0,0,0,0,0,0,0,0,0,63,0
425509,0,0,67,0,0,1,0,0,7,0,0,0
425532,0,0,0,0,0,0,0,0,0,0,11,0
