mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
112526,0,0,0,0,0,0,0,0,0,0,0,28
134181,0,0,65,0,0,28,0,0,0,0,0,0
136860,0,0,0,0,0,107,13,1,0,14,0,0
150029,0,0,0,0,0,2,51,16,0,67,0,0
276351,0,0,0,0,0,0,0,0,0,0,46,0
276520,0,0,0,0,0,0,0,0,0,0,0,14
276542,0,0,0,0,0,0,0,0,0,0,52,0
279571,0,0,0,0,0,0,0,0,0,0,62,0
282332,0,0,0,0,0,0,0,0,0,0,0,27
285079,0,0,0,0,0,0,0,0,0,0,0,31
400085,0,0,0,0,10,1,9,16,0,35,0,0
400121,0,0,0,0,0,104,0,0,0,0,0,0
400284,17,80,0,0,0,3,0,0,0,0,0,0
405395,6,0,0,0,0,143,0,0,0,0,0,0
407793,0,0,0,0,0,0,0,0,0,0,1,30
407812,8,0,0,0,0,90,0,0,0,0,0,0
407822,0,0,0,0,0,0,0,0,0,0,65,0
407845,0,0,0,0,0,0,0,0,0,0,61,0
408045,125,0,0,0,0,13,0,0,0,0,0,0
408061,0,0,0,0,0,0,0,0,0,0,28,0
408234,115,0,0,0,0,14,0,0,0,0,0,0
408236,60,0,0,0,0,0,0,0,0,0,0,0
408252,0,112,25,0,0,1,0,0,0,0,0,0
408314,0,28,36,0,1,0,1,0,80,2,0,0
424144,0,0,0,0,0,0,0,0,0,0,50,0
425386,0,0,0,0,0,0,0,0,0,0,0,1
425492,0,0,0,0,0,0,0,0,0,0,60,0
425509,0,0,15,0,0,0,0,0,0,0,0,0
425772,0,0,0,58,0,0,0,0,0,0,0,0
425783,0,0,0,0,0,65,0,77,0,77,0,0
425784,1,0,0,71,0,0,0,0,0,0,0,0
425794,0,0,0,0,0,0,0,0,0,0,1,23
425844,0,0,0,0,0,0,0,0,0,0,0,32
425877,1,0,0,133,0,0,0,0,0,0,0,0
429664,0,150,0,0,0,0,0,0,0,0,0,0
429665,23,0,0,0,0,132,0,0,0,0,0,0
429666,0,0,0,0,0,0,0,0,71,0,0,0
429711,0,0,0,0,0,0,17,0,0,17,0,0
429719,0,0,0,0,0,0,0,0,0,0,3,13
429722,0,0,0,0,0,0,0,0,0,0,0,33
430001,12,0,0,0,0,17,0,0,0,0,0,0
430589,0,0,0,0,0,0,0,0,0,0,19,0
430599,0,0,0,0,0,0,0,0,0,0,51,0
430605,0,0,0,0,0,0,22,0,0,22,0,0
430641,0,0,0,0,0,0,0,0,0,0,32,0
430661,0,0,0,0,0,0,0,0,0,0,63,0
430832,1,0,8,0,0,11,0,143,0,143,0,0
430912,0,0,0,0,0,0,0,0,0,0,4,23
430935,0,0,0,0,0,0,0,0,0,0,0,24
430945,0,0,0,0,147,0,0,0,0,147,0,0
430947,0,0,0,0,0,0,0,0,99,0,2,0
431094,0,7,7,0,0,0,6,0,0,6,0,0
431145,0,0,10,83,0,0,0,0,0,0,0,0
432934,0,0,0,0,0,0,0,0,0,0,12,2
433217,11,15,16,0,0,1,0,0,4,0,1,0
433586,0,0,0,0,0,0,0,0,0,0,63,0
433587,0,0,0,0,0,0,0,0,0,0,0,16
433589,0,0,0,0,0,0,0,0,0,0,59,1
434158,0,0,0,0,65,3,33,38,0,136,0,0
434378,0,0,0,0,0,0,0,0,0,0,0,33
434442,0,0,0,0,0,0,0,0,0,0,16,0
434538,0,0,0,0,0,0,0,0,0,0,20,18
434563,1,0,0,47,0,1,0,0,0,0,1,0
434567,0,0,0,13,0,0,0,0,0,0,0,0
434604,10,0,0,0,0,0,1,0,0,1,0,0
434622,0,0,0,0,0,0,0,0,0,0,6,25
