mlbam_id,1B,2B,3B,C,CF,DH,LF,RF,SS,OF,RP,SP
405395,76,0,1,0,0,2,0,0,0,0,0,0
408234,44,0,0,0,0,83,0,0,0,0,0,0
424144,0,0,0,0,0,0,0,0,0,0,5,0
425772,0,0,0,3,0,0,0,0,0,0,0,0
425784,0,0,0,24,0,0,0,0,0,0,0,0
425794,0,0,0,0,0,0,0,0,0,0,0,32
425844,0,0,0,0,0,0,0,0,0,0,1,29
425877,1,0,0,118,0,0,0,0,0,0,0,0
429722,0,0,0,0,0,0,0,0,0,0,36,2
431148,0,0,0,0,0,0,0,0,0,0,1,4
433589,0,0,0,0,0,0,0,0,0,0,78,0
435559,0,0,0,69,0,0,0,0,0,0,0,0
443558,1,0,0,0,0,133,0,0,0,0,0,0
444482,0,0,0,0,0,1,137,0,0,137,1,0
444489,0,0,0,65,0,0,0,0,0,0,0,0
444876,0,18,0,0,0,0,0,0,61,0,0,0
445055,0,0,0,0,0,0,5,0,0,5,0,0
445213,0,0,0,0,0,0,0,0,0,0,28,1
445276,0,0,0,0,0,0,0,0,0,0,69,0
445926,0,0,0,0,0,0,0,0,0,0,26,4
446099,0,0,0,0,0,0,0,0,0,0,1,0
446321,0,0,0,0,0,0,0,0,0,0,48,5
446334,0,0,78,0,0,0,0,0,0,0,0,0
446372,0,0,0,0,0,0,0,0,0,0,0,16
446653,0,0,0,5,0,0,0,0,0,0,0,0
448179,0,0,0,0,0,0,0,0,0,0,1,31
448281,0,0,0,0,0,0,0,0,0,0,56,0
448855,0,0,0,0,0,0,0,0,0,0,40,1
450203,0,0,0,0,0,0,0,0,0,0,0,33
451584,0,0,0,0,0,0,0,0,0,0,40,0
451594,0,0,0,0,0,0,0,7,0,7,0,0
452027,0,0,0,0,0,0,0,0,0,0,2,3
452657,0,0,0,0,0,0,0,0,0,0,0,28
452678,19,0,65,0,0,2,0,0,1,0,2,0
453178,0,0,0,0,0,0,0,0,0,0,55,0
453192,0,0,0,0,0,0,0,0,0,0,40,0
453265,0,0,0,0,0,0,0,0,0,0,62,0
453268,0,0,0,0,0,0,0,0,0,0,67,0
453281,0,0,0,0,0,0,0,0,0,0,9,9
453284,0,0,0,0,0,0,0,0,0,0,47,0
453286,0,0,0,0,0,0,0,0,0,0,0,30
453343,0,0,0,0,0,0,0,0,0,0,64,0
453527,0,0,0,0,0,1,0,0,0,0,0,0
453562,0,0,0,0,0,0,0,0,0,0,0,24
453568,0,0,0,0,0,1,0,137,0,137,0,0
453943,4,0,3,0,0,3,0,0,0,0,0,0
455117,1,0,0,123,0,0,0,0,0,0,0,0
455119,0,0,0,0,0,0,0,0,0,0,46,0
