mlbam_id,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF
595798,1,0,1,0,0,0,1,0,0,0,0,0,0,0
605154,1,1,1,0,0,0,0,0,0,0,0,0,0,0
543118,1,0,1,0,0,0,1,0,0,0,0,0,0,0
434538,1,0,1,0,0,0,0,0,0,1,0,0,0,0
607625,1,0,1,0,0,0,1,0,0,0,0,0,0,0
607644,1,0,1,0,0,0,0,0,0,1,0,0,1,0
519293,1,0,1,0,0,0,2,0,0,0,0,0,1,0
642397,2,0,2,0,0,0,0,0,0,0,0,0,0,0
663423,3,2,2,0,0,0,0,0,0,0,0,0,0,0
474463,8,1,4,0,0,0,0,0,0,0,2,0,0,0
571510,2,0,1,0,0,0,0,0,0,0,1,0,0,0
445926,2,0,1,0,0,0,0,0,0,0,1,0,0,0
518568,6,1,3,0,0,0,1,0,0,0,0,2,0,0
657571,2,1,1,1,0,0,0,0,0,0,0,0,0,0
623167,2,0,1,0,0,0,0,0,0,0,0,0,0,0
456034,2,0,1,0,0,0,1,0,0,0,1,0,0,0
642701,2,0,1,0,0,0,0,0,0,0,0,0,0,0
456701,5,0,2,0,0,0,1,0,0,0,1,0,0,0
621438,10,1,4,2,0,0,1,0,0,1,1,1,0,0
664057,30,4,11,1,1,0,0,0,1,6,11,1,0,0
593528,20,3,7,3,0,0,3,0,0,1,7,0,0,0
642423,40,5,14,1,1,0,1,3,3,2,7,0,0,0
435062,334,61,115,23,1,17,62,2,1,27,49,4,0,5
641313,498,81,167,32,0,18,56,17,5,15,109,3,0,2
650333,326,54,109,20,1,4,28,2,2,36,29,1,0,3
643230,42,8,14,1,0,1,2,0,0,1,8,0,7,0
502239,3,0,1,0,0,0,0,0,0,0,1,0,0,0
614173,15,2,5,1,0,0,1,1,0,4,7,0,0,1
521655,3,0,1,0,0,0,0,0,0,0,2,0,1,0
543193,3,0,1,0,0,0,0,0,0,0,0,0,1,0
448855,3,0,1,0,0,0,0,0,0,0,2,0,0,0
664854,3,0,1,0,0,0,0,0,0,0,2,0,0,0
641851,3,1,1,0,0,0,0,0,0,0,0,0,0,0
656725,6,0,2,0,0,0,0,0,0,0,3,0,1,0
641924,6,1,2,0,0,1,4,0,0,0,2,1,0,0
592779,3,1,1,1,0,0,0,0,0,0,0,0,0,0
658792,3,1,1,0,0,1,2,0,0,0,1,0,0,0
456781,215,27,71,13,1,4,23,0,1,10,49,1,0,2
592885,489,100,161,29,3,44,97,30,2,80,118,8,0,3
606466,569,97,187,36,9,32,92,10,2,53,86,4,0,2
518934,602,109,197,33,2,26,102,5,2,46,90,2,1,4
663567,28,3,9,0,0,0,2,0,0,3,10,0,3,0
543685,545,117,174,44,3,34,126,5,1,80,86,12,0,9
542436,22,1,7,1,0,0,2,0,0,2,8,0,0,0
643446,510,83,162,38,1,23,75,5,6,35,75,21,0,1
665487,334,61,106,13,6,22,53,16,6,30,110,5,0,3
527038,265,31,84,18,0,9,37,0,0,15,31,4,0,1
657041,38,6,12,0,1,4,12,1,1,4,8,2,0,0
660162,511,83,161,34,5,25,79,10,3,40,154,4,1,3
501896,162,35,51,13,0,11,29,0,0,23,44,1,0,0
571448,588,102,185,31,2,41,118,3,2,62,93,4,0,8
570482,442,73,139,34,0,21,74,1,1,25,87,5,0,4
453568,580,112,182,42,7,32,86,2,5,40,104,9,0,5
668804,491,83,154,37,4,16,68,3,2,46,121,6,0,3
670541,313,58,98,26,0,27,78,0,0,52,94,2,0,2
488726,575,88,179,40,2,22,90,3,2,51,66,7,0,4
666182,196,32,61,18,0,11,21,4,4,14,50,1,0,1
646240,647,129,201,54,4,32,115,8,8,48,119,4,1,2
443558,454,81,141,26,0,41,108,0,1,56,131,7,0,3
593428,614,110,190,52,0,33,117,4,2,76,122,2,0,6
669720,68,12,21,6,0,4,13,2,0,7,13,0,0,0
621028,493,61,152,20,6,12,64,16,8,28,62,7,2,1
664062,13,2,4,0,0,0,1,0,0,0,4,0,1,0
664901,39,6,12,0,0,2,4,0,0,1,11,0,0,0
605204,410,65,126,22,1,22,57,3,0,38,97,3,0,2
593643,524,62,160,21,2,12,51,4,4,16,50,4,3,3
641355,558,121,170,34,3,47,115,15,5,95,108,3,0,4
502110,575,98,175,33,2,36,105,2,0,72,138,4,0,5
622682,276,29,84,16,5,3,25,9,3,14,64,0,0,2
572816,260,33,79,28,2,12,59,1,0,16,56,0,0,3
669242,326,59,99,17,7,11,36,15,1,16,61,7,0,0
669374,314,51,95,23,2,19,49,9,3,25,107,8,0,1
593160,681,105,206,41,10,16,74,20,10,45,126,5,0,4
621311,374,67,113,28,5,15,61,4,4,28,110,4,2,5
668227,20,4,6,1,0,1,2,2,1,2,4,1,0,0
624512,97,14,29,7,0,5,11,0,0,7,18,0,0,0
514888,500,89,149,27,3,31,74,6,5,41,82,3,1,3
493329,564,85,168,40,2,31,104,5,3,37,65,5,0,6
607208,521,96,155,37,5,19,57,35,5,43,113,3,0,2
571788,259,38,77,14,2,3,31,1,0,28,57,4,0,4
452254,286,53,85,17,1,18,59,6,1,26,69,2,0,2
608324,554,122,164,37,2,41,112,5,1,119,83,9,0,8
645277,640,102,189,43,8,24,86,15,4,54,112,4,0,4
459964,200,32,59,10,0,7,23,0,0,38,45,0,0,0
516782,539,97,159,31,6,23,82,25,6,25,94,16,2,4
605141,597,135,176,40,5,29,80,16,3,97,101,3,0,9
518692,597,113,176,34,2,38,121,6,3,87,127,6,0,2
593871,631,107,186,40,7,22,79,4,3,60,116,4,2,7
600303,292,49,86,8,0,16,44,0,0,20,28,3,0,0
657077,343,43,101,22,2,12,44,4,1,26,49,2,0,6
596115,588,111,173,38,5,35,85,23,8,58,174,7,0,3
664913,75,11,22,8,2,0,13,1,0,7,23,1,0,0
643436,75,8,22,5,0,0,6,0,0,7,25,1,0,0
669256,116,19,34,6,1,5,17,2,0,15,29,4,0,0
519203,512,89,150,29,3,27,94,5,2,71,86,27,0,3
543807,479,96,140,20,3,39,96,6,2,67,113,6,0,4
545361,470,110,137,27,2,45,104,11,2,110,120,16,0,4
605612,354,30,103,10,4,5,38,4,2,9,86,0,2,4
641820,602,106,175,38,2,35,97,1,0,63,143,9,0,5
640457,530,83,154,29,7,33,89,12,7,54,131,7,0,0
519299,396,59,115,23,2,13,40,8,0,38,63,2,3,3
501659,31,11,9,3,1,1,4,0,0,7,8,0,0,0
664058,596,83,173,30,4,6,49,8,3,55,64,0,1,1
457759,479,80,139,24,0,27,67,2,0,51,88,14,0,5
592206,615,100,178,58,3,27,73,2,2,41,143,5,0,3
571980,274,34,79,19,0,10,34,4,2,14,66,2,2,2
519317,59,8,17,3,0,3,13,0,0,12,24,0,0,1
657656,434,79,125,29,0,24,67,13,2,27,123,11,1,8
578428,504,62,145,21,3,11,59,6,6,20,70,3,1,2
467092,473,52,136,19,0,14,73,1,0,44,69,4,0,3
642708,616,75,177,30,7,15,72,19,10,31,124,3,2,3
660271,384,51,110,20,5,18,62,12,3,33,110,2,0,4
623214,7,0,2,0,0,0,1,0,0,1,3,0,0,0
669203,7,0,2,0,0,0,0,0,0,0,2,0,1,0
621381,21,1,6,2,0,0,1,0,0,2,12,0,4,0
460075,459,70,131,31,2,22,75,11,1,34,105,8,0,3
455976,414,61,118,25,2,9,62,2,0,47,59,2,0,6
543760,657,123,187,43,7,33,92,10,8,87,102,2,0,1
457727,239,48,68,17,0,11,32,9,6,30,72,0,0,0
543939,478,61,136,25,4,11,59,24,4,47,83,13,6,5
596019,598,101,170,40,2,32,74,22,5,46,98,3,1,6
547989,634,85,180,38,1,33,123,2,2,36,152,13,0,10
500743,483,52,137,29,1,5,46,9,5,32,62,5,1,5
542454,474,81,134,23,6,28,81,21,6,25,151,6,0,5
642086,177,35,50,10,0,11,25,1,2,19,44,1,0,0
665742,542,110,153,32,5,34,110,12,1,108,132,3,0,6
541645,489,61,138,25,2,20,72,10,4,31,125,7,0,3
663538,78,13,22,1,1,3,17,0,0,3,11,0,0,1
408234,493,41,139,21,0,12,59,0,0,48,108,3,0,5
592178,543,108,153,35,1,31,77,4,0,74,145,15,0,2
467793,573,110,161,30,1,34,93,4,0,108,108,3,0,2
643265,381,52,107,16,1,15,50,0,0,33,110,5,0,2
519222,228,29,64,12,0,8,35,1,1,10,50,0,1,1
595879,531,89,149,38,4,29,85,11,7,28,156,0,0,2
466320,378,43,106,22,1,7,47,2,0,17,41,1,1,0
425844,50,7,14,4,1,3,8,1,1,2,12,0,4,0
642736,25,6,7,2,1,0,5,0,0,4,9,0,0,1
660670,626,127,175,22,2,41,101,37,9,76,188,9,0,1
516416,576,79,161,37,4,12,60,10,2,30,73,8,1,3
514917,612,77,171,31,3,14,71,9,2,45,100,6,0,4
641531,523,75,146,29,10,26,84,2,2,55,148,3,0,5
594809,566,103,158,25,7,15,49,15,3,65,106,13,9,3
544725,577,93,161,27,3,8,40,15,5,21,139,6,11,3
621043,280,42,78,16,1,21,59,1,0,35,75,2,0,4
502517,438,56,122,35,1,13,78,1,1,32,74,2,0,4
650402,546,96,152,26,0,38,90,5,2,48,129,3,1,6
592407,115,12,32,6,0,4,12,0,1,11,21,1,1,1
553882,428,63,119,12,0,22,55,0,0,47,92,4,0,3
624428,554,80,154,33,7,10,50,5,5,40,75,9,4,1
543432,18,4,5,2,0,2,7,0,0,1,5,0,0,0
666971,314,52,87,19,2,20,50,6,4,20,86,5,1,3
605137,527,94,146,37,3,37,116,0,1,74,118,5,0,7
643565,260,46,72,18,1,13,47,6,0,34,71,1,0,1
502273,177,27,49,8,0,4,24,1,2,22,61,4,6,4
592567,466,46,129,30,1,13,80,0,1,30,117,3,0,4
621458,47,10,13,2,1,4,8,0,0,9,21,0,0,0
543877,482,66,133,26,1,23,72,4,2,33,101,0,3,3
543105,174,29,48,13,3,6,28,1,1,13,42,2,0,1
592696,562,91,155,28,1,32,109,3,1,22,86,0,0,6
656669,225,42,62,15,1,15,38,3,2,33,61,2,0,1
623912,421,54,116,20,3,11,50,2,1,18,91,5,0,1
502210,501,57,138,19,3,14,56,5,2,36,66,0,1,9
592663,538,92,148,36,3,25,83,9,1,41,123,5,0,8
462101,600,81,165,27,4,12,72,31,8,34,96,4,0,10
444482,382,48,105,29,3,12,57,0,0,35,87,5,0,1
543829,393,36,108,12,6,3,34,22,5,18,61,1,3,6
606132,426,54,117,23,5,9,44,9,3,21,100,0,0,0
605253,51,13,14,2,1,0,1,13,5,6,18,1,0,0
542340,642,111,176,33,5,24,73,40,9,61,176,4,2,4
643289,106,12,29,5,0,4,9,3,1,5,20,0,0,0
542932,256,52,70,14,1,6,24,17,3,24,73,6,0,1
502054,567,77,155,33,2,21,68,25,4,81,123,5,0,1
543510,439,62,120,26,1,18,60,4,1,30,137,6,1,0
641598,311,70,85,16,1,31,67,0,0,41,87,5,0,2
592192,410,80,112,16,3,26,58,3,2,67,107,18,0,2
608596,260,32,71,12,1,18,40,2,0,19,87,1,0,1
670712,132,17,36,7,0,6,16,1,0,7,39,2,1,0
623168,11,1,3,1,0,1,2,0,0,0,4,0,1,0
656541,77,13,21,4,2,7,13,2,0,9,23,1,0,0
592450,378,75,103,18,1,27,55,3,2,64,141,3,0,1
501303,202,34,55,8,3,5,22,0,2,20,40,6,2,4
573262,371,64,101,22,3,21,55,2,4,32,107,4,1,3
575929,360,57,98,18,2,24,64,1,2,38,102,9,0,2
608369,489,82,133,44,1,19,87,1,0,44,98,4,0,4
665489,464,52,126,26,2,15,69,0,1,46,91,2,0,2
649557,210,36,57,12,1,9,40,2,0,26,28,5,0,6
553993,575,87,156,22,2,49,103,3,2,70,189,11,0,6
640447,236,30,64,11,7,7,23,4,3,18,63,4,0,2
516770,636,68,172,31,4,22,86,2,2,28,111,3,0,9
621005,111,11,30,7,0,1,12,6,3,15,29,1,0,1
664040,296,42,80,17,2,17,51,5,0,25,113,5,0,1
425877,419,45,113,24,0,10,57,6,0,23,58,5,0,5
474568,256,24,69,16,0,9,22,0,0,13,57,2,0,0
500874,334,45,90,13,2,10,42,3,0,35,82,2,0,2
640458,438,70,118,25,3,15,54,15,4,28,84,5,7,4
608385,338,51,91,17,2,16,38,0,2,38,60,8,0,0
543592,238,37,64,12,1,10,31,1,0,23,63,4,1,1
500871,636,94,171,29,10,35,118,5,1,50,130,3,0,10
663656,67,15,18,6,0,4,11,5,0,4,20,1,0,0
545121,201,25,54,9,1,6,24,1,0,9,24,0,0,1
641432,309,51,83,14,1,21,48,0,0,23,53,3,0,2
664702,108,27,29,4,2,0,7,8,1,19,24,0,1,0
553902,190,28,51,9,0,4,21,0,0,5,8,5,0,4
467055,272,42,73,23,0,14,41,1,0,18,67,1,2,3
608577,429,69,115,27,1,19,66,4,1,28,108,6,0,6
641786,71,10,19,5,0,6,13,0,0,3,29,0,0,1
622168,172,20,46,7,1,2,13,8,3,7,37,1,0,1
650490,307,53,82,20,1,14,38,2,2,35,61,1,0,4
650391,468,69,125,18,2,31,79,0,0,30,134,4,0,2
621566,483,73,129,26,0,36,91,0,0,51,138,12,0,1
594807,120,17,32,4,1,10,19,0,0,7,39,2,0,1
640449,225,31,60,14,0,12,38,1,2,16,70,2,0,3
445055,165,12,44,8,0,0,9,0,0,8,30,3,5,1
624577,555,76,148,30,2,24,84,19,7,44,133,8,0,4
592863,30,4,8,1,0,0,2,1,0,3,6,0,0,1
605540,45,1,12,4,0,0,4,0,0,1,20,0,3,0
605170,244,31,65,11,0,11,34,1,0,29,59,3,0,3
572041,308,49,82,15,1,15,47,5,1,23,74,7,0,4
460086,556,77,148,31,1,13,76,5,3,51,100,19,1,6
643217,541,72,144,40,5,13,68,10,3,59,140,7,3,5
656514,222,30,59,14,0,5,26,4,0,14,60,5,1,0
642336,226,27,60,11,2,8,22,1,1,13,56,4,0,1
607461,249,36,66,19,1,9,46,5,0,17,33,2,0,0
543333,619,72,164,29,2,22,99,0,3,40,163,3,0,5
624585,589,95,156,33,1,48,117,3,1,73,178,10,0,4
425783,563,93,149,31,2,24,61,15,1,78,165,18,0,1
591741,261,41,69,20,0,10,36,0,0,18,48,1,0,4
664023,140,25,37,7,1,11,30,2,0,15,39,0,0,1
435559,280,37,74,11,0,17,63,0,1,20,36,6,0,3
592743,398,47,105,19,0,7,40,10,2,24,37,2,0,0
503556,425,52,112,19,0,15,55,1,0,31,98,6,0,1
572228,429,72,113,21,1,21,62,0,0,71,142,9,0,1
643418,152,21,40,12,1,5,15,3,3,16,40,0,0,0
663993,152,24,40,8,0,7,19,0,0,13,50,2,0,2
519390,255,30,67,24,2,10,40,3,1,20,66,1,0,4
609275,415,58,109,20,10,9,62,43,7,19,132,0,3,6
641933,141,18,37,6,0,5,16,1,0,10,53,0,0,0
621035,366,52,96,29,4,12,52,8,0,37,115,4,2,5
595751,431,44,113,14,1,18,57,4,4,22,154,10,0,2
621439,271,48,71,30,4,10,46,14,3,19,68,2,2,1
547172,359,42,94,17,2,1,42,0,1,36,68,8,2,6
607732,191,26,50,5,0,6,13,0,0,16,40,2,1,0
594838,65,5,17,3,0,0,7,0,0,3,16,0,0,0
571718,413,65,108,29,3,17,47,7,3,38,129,3,1,3
605119,459,57,120,33,1,20,66,5,1,44,114,14,0,3
435522,337,37,88,19,1,8,38,3,0,42,77,1,0,1
596847,410,54,107,20,2,19,63,2,3,64,108,6,0,7
458015,525,79,137,32,1,15,47,5,0,76,123,4,0,3
623993,380,46,99,20,1,20,59,1,2,19,86,2,1,3
520471,557,67,145,28,1,23,70,4,2,28,145,1,1,2
642721,73,4,19,2,1,1,11,1,0,5,24,0,0,1
547180,573,98,149,36,1,35,114,15,3,99,178,6,0,4
450314,150,24,39,5,0,1,17,0,0,23,24,1,0,2
430945,485,66,126,25,1,16,67,2,1,31,101,8,0,3
456715,562,75,146,30,0,11,48,18,8,50,106,6,0,4
543543,154,26,40,6,1,13,25,2,0,15,45,1,0,0
624413,597,103,155,30,2,53,120,1,0,72,183,21,0,3
502671,597,97,155,25,1,34,97,3,1,78,166,2,0,3
452678,447,69,116,25,1,18,91,4,0,57,103,3,0,7
518586,135,14,35,5,2,5,20,0,1,6,44,1,1,1
572233,529,86,137,26,1,29,73,8,1,67,155,6,0,1
645801,143,30,37,7,0,12,25,0,0,17,28,3,0,0
518626,549,96,142,33,0,37,94,4,2,100,155,8,0,2
607680,611,83,158,37,3,21,88,14,5,18,89,9,0,7
606157,205,31,53,8,0,19,47,7,0,16,60,2,0,2
624431,120,18,31,9,0,2,13,0,0,3,27,0,1,2
664068,458,64,118,34,4,19,55,15,4,34,147,5,1,2
595909,198,28,51,11,2,8,25,0,0,21,71,8,0,1
623520,303,47,78,17,0,11,41,5,1,44,93,7,0,2
475582,171,20,44,9,0,6,27,0,0,17,39,0,0,2
624424,549,90,141,29,1,33,92,7,2,84,149,10,0,5
457763,405,43,104,24,0,7,38,0,0,34,71,4,1,1
429664,390,46,100,28,0,13,39,0,0,25,69,5,0,3
570731,433,61,111,23,1,23,59,1,1,20,116,10,0,1
669222,375,55,96,20,4,12,42,14,5,30,101,3,0,1
457705,219,45,56,12,1,10,29,2,1,43,55,0,0,0
592518,587,81,150,21,2,32,85,5,3,65,128,6,0,3
608070,482,68,123,33,3,23,83,24,4,52,74,2,0,6
435622,443,64,113,31,4,20,65,3,3,34,119,2,1,2
645302,546,86,139,33,3,17,65,28,9,35,140,25,6,5
519058,523,80,133,30,1,35,87,3,0,53,98,6,0,2
642715,531,69,135,25,1,20,52,4,2,46,153,3,3,1
446334,453,59,115,19,2,20,69,3,1,43,112,7,0,5
656308,347,46,88,10,1,18,58,2,1,31,127,4,0,0
605113,556,79,141,33,6,19,82,8,2,52,113,4,1,12
570481,142,15,36,4,1,1,6,4,1,9,37,1,3,1
543068,458,51,116,24,0,25,78,0,0,29,107,10,0,2
608336,241,54,61,15,1,22,49,4,2,52,114,2,1,1
669257,170,30,43,9,0,15,42,2,0,18,52,5,0,3
570267,451,63,114,20,1,21,69,8,3,50,164,2,0,2
570560,496,59,125,20,4,2,43,5,4,44,117,5,7,3
594694,131,15,33,2,0,2,8,0,1,12,29,0,1,0
596146,524,98,132,32,0,36,90,1,5,60,99,8,0,4
622110,147,12,37,8,0,1,12,0,1,19,29,2,0,1
519048,298,48,75,17,1,19,58,1,0,34,74,1,0,2
518792,513,78,129,20,4,21,62,8,3,68,110,5,0,3
607345,191,21,48,12,0,5,20,2,0,16,37,3,0,1
592200,207,24,52,9,0,8,32,0,0,25,59,1,0,3
518595,351,52,88,16,0,16,69,0,1,32,85,2,0,6
453943,447,63,112,19,2,21,67,1,2,40,106,12,0,0
621020,483,77,121,26,3,17,65,10,5,51,124,5,1,5
571970,487,101,122,22,1,35,98,4,1,90,149,8,0,4
458731,491,86,123,26,7,28,74,10,2,52,108,4,0,3
663531,4,1,1,0,0,0,0,0,0,0,0,1,0,0
607468,36,6,9,1,0,1,3,0,0,10,14,2,0,2
542960,4,0,1,0,0,0,1,0,0,0,1,0,1,0
664199,24,2,6,0,0,1,2,0,0,0,10,0,1,0
643275,4,5,1,0,1,0,0,0,0,0,2,0,0,0
657566,4,0,1,0,0,0,0,0,0,0,2,0,0,0
518633,4,0,1,0,0,0,0,0,0,0,2,0,0,0
642731,64,12,16,3,0,3,12,4,0,3,15,1,1,0
664247,48,8,12,4,0,3,6,0,0,5,19,0,0,0
608337,4,0,1,0,0,0,2,0,0,0,3,0,0,0
572365,144,13,36,6,1,2,10,0,1,17,44,1,1,0
593523,148,18,37,7,0,2,11,1,2,3,42,3,1,0
641796,212,38,53,12,2,1,17,17,0,14,44,22,1,1
628317,48,3,12,2,0,0,6,0,0,0,13,0,13,0
641829,36,5,9,2,0,0,2,2,0,4,10,0,0,0
664208,4,0,1,0,0,0,1,0,0,0,2,0,0,0
641857,480,70,120,22,1,24,83,5,1,56,160,1,1,1
543532,8,0,2,0,0,0,2,0,0,0,3,0,2,0
641914,56,3,14,3,0,0,7,0,0,4,19,0,0,1
456051,4,0,1,0,0,0,0,0,0,0,3,0,1,0
624641,8,2,2,0,0,0,0,1,0,1,2,1,0,0
624133,4,0,1,0,0,0,0,0,0,0,2,0,1,0
592791,8,0,2,0,0,0,0,0,0,0,3,0,3,0
572191,88,10,22,7,0,1,3,6,0,7,34,0,2,0
628711,12,0,3,0,0,0,2,0,0,1,4,0,5,0
595453,48,4,12,3,0,1,3,0,0,6,12,0,0,0
657145,36,2,9,3,0,0,5,0,0,4,16,0,0,0
656941,529,82,132,29,3,38,92,2,3,70,156,5,0,6
592261,357,42,89,15,4,4,32,24,6,38,100,3,8,2
572039,357,46,89,17,1,13,44,2,0,29,84,3,1,3
600474,305,37,76,13,0,13,44,3,1,29,73,4,1,2
435263,277,28,69,9,0,12,45,0,0,31,53,2,0,6
647304,253,29,63,15,0,8,32,1,1,25,64,0,0,1
614177,494,69,123,19,0,37,81,0,0,47,156,0,0,7
592626,450,83,112,16,3,36,74,1,1,50,111,12,0,2
656305,583,102,145,36,3,36,91,1,1,73,147,11,0,3
592348,423,61,105,27,5,12,45,12,3,46,138,1,0,2
641525,391,41,97,20,4,15,52,5,1,21,136,4,0,4
527049,125,14,31,5,0,4,18,0,0,10,38,11,1,0
592325,311,47,77,18,0,7,33,2,2,40,104,3,0,2
594824,311,52,77,13,4,4,31,0,2,53,83,5,1,2
641658,299,40,74,9,4,8,27,15,3,24,88,0,2,2
519346,396,67,98,23,2,25,61,3,2,51,140,10,0,2
593934,380,76,94,19,2,34,79,0,1,55,159,3,0,1
502117,77,12,19,1,0,2,8,1,1,5,26,0,0,0
542255,199,30,49,11,2,5,24,7,1,26,41,4,0,1
596144,309,24,76,14,0,9,40,1,0,19,67,2,0,0
641645,61,8,15,4,0,1,3,0,0,7,14,0,2,0
518735,513,79,126,26,2,28,77,5,1,109,139,5,0,5
608475,273,28,67,11,4,6,26,0,0,8,59,3,0,4
669221,53,14,13,5,0,4,8,0,0,6,16,1,0,0
608348,314,46,77,19,0,18,47,0,0,48,79,2,0,1
642180,94,16,23,3,1,2,11,7,0,11,28,1,2,0
543401,458,52,112,23,1,17,65,7,2,40,88,2,5,6
405395,491,55,120,22,0,23,93,3,0,43,68,3,0,8
605412,438,50,107,21,2,5,39,4,2,43,47,4,2,4
572863,86,14,21,5,0,3,14,0,0,10,22,4,0,0
429665,418,81,102,18,0,34,86,0,1,58,103,7,0,3
600524,541,72,132,24,0,31,90,1,1,44,143,10,0,4
620446,74,4,18,6,0,0,4,0,0,2,23,1,3,0
641553,227,26,55,10,2,6,26,3,3,14,78,6,1,0
570256,153,23,37,8,1,6,17,3,1,12,49,1,0,0
588751,203,34,49,12,1,9,33,3,1,14,48,3,0,1
542303,485,80,117,23,1,29,89,12,2,62,114,1,0,1
553869,303,31,73,14,0,2,28,0,0,23,56,2,1,3
596105,357,46,86,16,3,13,53,5,1,26,82,4,1,4
543257,420,57,101,21,3,6,38,9,4,59,86,1,0,2
640461,341,45,82,21,0,13,47,0,1,20,88,5,1,3
