mlbam_id,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF
644433,4,0,3,2,0,0,3,0,0,0,0,0,0,0
672640,9,0,6,0,0,0,3,0,1,1,1,0,0,0
666137,2,1,1,0,0,1,3,0,0,0,0,0,0,0
681546,13,6,6,2,0,1,3,0,0,2,7,1,0,0
670869,55,9,22,5,1,1,9,1,1,2,13,0,1,1
621573,8,1,3,0,0,0,0,0,0,1,0,0,0,0
686823,42,6,15,1,1,1,8,2,1,2,4,1,0,0
682073,29,7,10,2,1,1,5,0,0,5,6,0,0,0
678225,33,5,11,3,0,0,6,3,0,2,6,2,0,0
542963,3,0,1,1,0,0,0,0,0,0,0,0,0,0
664041,24,4,8,1,0,0,2,0,0,3,11,0,0,0
656495,21,3,7,0,0,1,5,1,0,6,7,1,0,0
657247,3,0,1,0,0,0,0,0,0,1,2,0,0,0
678894,3,0,1,0,0,0,0,0,0,1,2,0,0,0
643446,533,73,174,39,1,9,62,4,0,40,61,11,0,5
518692,612,117,199,47,2,21,100,13,3,84,102,5,0,7
608841,222,33,72,14,0,13,34,1,0,15,52,1,0,2
663886,166,24,53,9,0,6,35,1,0,12,47,3,0,2
672515,69,10,22,1,0,1,7,0,0,4,8,0,0,0
672580,22,1,7,1,0,0,2,0,0,1,5,0,0,0
502671,561,106,178,41,0,35,115,7,0,79,141,5,0,4
650333,547,88,173,31,1,8,49,4,4,50,43,3,0,3
669003,61,9,19,3,0,2,9,8,0,6,28,0,1,0
592450,570,133,177,28,0,62,131,16,3,111,175,6,0,5
668843,52,7,16,0,1,3,11,1,1,5,10,0,0,2
608701,153,25,47,11,0,6,21,1,1,15,46,6,0,3
593428,557,84,171,38,0,15,73,8,2,57,118,10,0,7
670541,470,95,144,29,2,37,97,1,1,78,106,6,0,7
592178,160,28,49,12,0,5,14,0,0,17,27,2,0,2
672724,49,8,15,3,0,1,2,2,0,6,9,2,0,0
543829,59,6,18,1,1,0,2,3,2,0,8,0,0,0
572761,128,28,39,9,0,15,37,0,0,19,35,5,1,1
547989,601,85,183,40,0,15,75,0,0,62,110,12,0,4
643217,461,54,140,23,3,5,51,8,3,52,77,2,1,5
608596,33,9,10,2,0,1,1,0,0,8,13,0,0,0
663993,593,74,179,26,3,27,76,2,2,48,147,4,0,0
641313,332,50,100,13,0,6,25,13,0,14,55,5,0,0
602074,372,56,112,21,2,2,34,0,3,26,58,4,1,5
623912,403,46,121,24,0,6,58,3,5,19,72,9,0,4
656388,10,2,3,1,0,1,1,0,0,0,3,1,0,0
572863,10,1,3,1,0,0,1,0,0,1,4,0,0,0
668904,40,5,12,4,0,2,5,0,0,1,5,0,0,0
514888,527,103,158,39,0,28,57,18,1,66,87,10,0,1
680757,563,89,168,25,7,6,52,19,5,62,60,7,2,4
592518,578,100,172,37,1,32,102,9,1,63,133,1,0,2
607208,652,101,194,39,4,21,100,27,3,45,131,3,0,6
665926,491,66,146,26,3,17,69,20,3,34,112,25,4,3
656248,74,9,22,6,0,3,11,0,0,21,25,1,0,1
671739,414,75,123,27,3,19,64,20,2,21,107,5,1,0
650490,473,71,140,33,0,9,57,3,3,78,60,6,0,1
660757,362,39,107,27,0,11,43,1,2,15,75,3,0,2
646240,555,84,164,42,1,27,88,3,1,50,114,6,0,3
686469,258,25,76,10,0,10,26,1,0,35,34,3,0,2
650391,292,40,86,12,0,16,54,0,0,28,72,3,0,4
571448,557,73,163,42,1,30,103,5,3,52,72,7,0,4
516782,466,76,136,24,5,16,63,18,9,26,97,13,0,0
578428,439,48,128,30,0,3,47,2,3,17,56,8,0,3
666971,453,52,132,32,1,5,52,3,4,31,83,6,0,2
621043,522,70,152,24,1,22,64,0,1,61,121,3,0,4
687093,141,24,41,6,0,5,18,5,2,11,34,3,0,1
666182,652,91,189,43,1,24,93,13,8,41,155,2,0,2
664901,97,22,28,4,1,3,15,1,0,7,23,1,1,0
488726,243,28,70,14,1,5,26,1,1,31,30,1,1,1
547180,370,63,106,28,1,18,65,11,4,46,87,3,0,7
624414,280,32,80,16,1,6,36,5,1,13,49,3,2,2
592144,42,9,12,1,0,0,3,3,1,0,8,0,0,0
680118,7,1,2,0,0,0,2,1,0,0,4,0,0,0
681351,14,1,4,0,0,0,2,0,0,2,3,0,0,0
658668,161,24,46,8,0,4,15,2,3,10,36,2,0,1
570482,501,61,143,27,3,13,64,1,0,41,96,2,0,7
672386,470,59,134,19,0,14,63,0,0,63,58,4,0,4
673357,380,54,108,18,0,12,56,11,3,17,77,3,0,1
456781,278,22,79,16,0,4,24,0,0,19,61,5,0,2
677594,511,84,145,25,3,28,75,25,7,40,145,8,0,1
664983,321,53,91,16,3,8,43,23,3,23,76,6,3,1
545361,438,85,124,28,2,40,80,1,0,54,139,6,0,1
642708,637,86,180,26,9,11,71,18,4,25,111,4,0,4
680977,391,64,110,21,1,5,45,2,3,60,70,14,1,2
621493,495,73,139,22,2,23,65,5,3,60,120,4,0,5
663538,481,60,135,22,5,10,55,20,2,28,57,6,0,2
657077,593,75,166,39,1,11,74,1,3,42,86,3,0,6
664761,586,79,164,24,3,13,72,2,3,31,110,4,0,10
608070,601,90,168,44,5,29,126,20,7,69,82,6,0,9
661388,334,51,93,14,1,20,45,2,0,39,104,1,0,2
457759,468,61,130,36,0,13,81,3,0,50,89,6,0,8
677551,314,46,87,20,3,6,33,8,0,26,33,0,0,4
516416,354,45,98,9,0,10,33,13,6,25,58,7,0,1
621020,640,99,177,32,1,25,96,18,7,49,182,3,0,4
656448,76,13,21,8,0,4,10,3,1,3,27,1,0,1
592663,504,75,139,26,5,22,84,21,1,41,119,12,0,5
666158,421,66,116,20,7,6,42,7,2,47,95,0,0,3
671277,360,29,99,23,2,7,45,3,4,11,84,1,1,4
606019,40,3,11,0,0,0,3,1,1,4,9,2,1,0
621028,288,31,79,18,2,2,24,8,2,16,48,2,2,1
