mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
430947,0,0,0,0,0,0,0,0,1.1,0,0,0,0,1,0,0,0,0,0
457732,0,2,0,0,0,0,0,0,4.0,1,0,0,0,0,0,2,0,0,0
474039,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0
543031,0,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,1,0,0,0
641501,1,1,0,0,0,0,0,0,5.0,3,0,0,0,6,0,6,0,0,0
605204,0,0,0,0,0,0,0,0,1.2,1,0,0,0,1,0,3,0,0,0
518614,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
606273,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,1,0,0,0
592341,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0
543261,0,0,0,0,0,0,0,0,0.2,2,0,0,0,1,0,0,0,0,0
445055,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
572955,0,0,0,0,0,0,0,0,1.0,2,2,0,0,1,0,2,0,0,0
571911,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2,0,1,0,0,0
492841,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
471083,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2,0,0,0,0,1
519048,0,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,1,0,0,0
621397,0,1,0,0,0,1,0,8,20.0,13,0,0,0,6,0,18,1,0,0
541650,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0
461865,0,0,0,0,0,0,0,1,1.0,1,0,0,0,1,0,0,1,0,0
614179,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0
596143,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
642073,0,2,0,0,0,1,0,2,10.2,5,0,0,0,2,0,9,0,0,0
592753,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
434718,0,0,0,0,0,0,0,0,4.0,2,0,0,0,1,0,3,0,0,0
600986,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
621056,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
545348,0,0,0,0,0,0,0,0,17.1,13,1,1,1,2,0,14,0,0,0
621294,0,1,0,0,0,0,0,0,11.0,5,1,1,0,6,0,9,0,0,1
474029,0,0,0,0,0,0,0,1,8.2,2,1,1,0,1,0,9,0,0,2
657205,0,0,0,0,0,0,0,0,8.1,6,4,1,1,3,0,6,2,0,2
466948,0,1,0,0,0,0,0,0,7.2,7,2,1,1,4,0,4,0,0,0
592570,0,0,0,0,0,0,0,0,7.1,6,1,1,0,4,0,9,0,0,0
445276,0,5,0,0,0,41,1,1,68.1,44,11,10,5,7,0,109,2,1,2
605476,0,0,0,0,0,1,0,0,6.2,7,1,1,0,2,0,7,0,0,0
518886,0,5,0,0,0,35,4,1,69.0,33,11,11,6,14,0,126,4,0,5
453192,0,4,3,0,0,2,2,27,62.2,31,11,10,3,21,0,95,5,0,1
450212,0,5,3,0,0,1,4,23,62.1,48,13,11,3,6,0,69,0,0,0
458006,0,7,2,0,0,2,4,14,61.0,35,12,11,6,17,0,63,4,0,0
553878,0,5,3,0,0,21,2,14,75.1,47,19,14,4,20,0,88,4,1,2
644364,0,1,0,0,0,0,0,2,10.2,6,2,2,0,4,0,13,0,0,0
605151,0,3,3,0,0,1,6,25,73.0,55,14,14,4,21,2,79,1,1,0
607320,4,2,0,0,0,0,0,0,20.2,26,6,4,0,4,0,7,0,0,0
552640,0,0,1,0,0,0,0,1,15.1,13,4,3,2,6,1,14,0,0,1
608349,0,1,4,0,0,39,6,11,76.0,48,15,15,6,40,5,126,2,0,2
643338,1,5,0,0,0,0,1,9,69.0,34,14,14,4,17,0,103,2,0,3
425492,0,5,4,0,0,2,3,25,59.0,38,12,12,2,9,2,67,4,0,0
502085,0,9,2,0,0,14,2,8,68.1,35,14,14,6,23,5,98,3,0,7
592865,0,0,0,0,0,0,0,0,4.2,4,1,1,0,2,0,4,0,0,0
519263,0,4,0,0,0,0,1,4,32.0,31,8,7,3,14,2,27,0,0,2
518715,0,4,3,0,0,0,1,8,68.0,50,16,15,4,35,4,64,7,0,3
542947,0,2,1,0,0,0,0,3,63.1,62,23,14,6,13,3,26,4,0,5
641427,0,1,1,0,0,0,1,2,31.2,22,9,7,4,9,0,23,0,0,2
571948,0,0,0,0,0,0,1,7,31.1,30,7,7,2,16,3,22,4,0,0
518553,0,3,2,0,0,1,3,15,44.2,26,10,10,3,14,1,41,3,1,3
453344,0,6,0,0,0,2,1,10,43.2,31,10,10,0,9,1,50,1,0,2
623352,0,2,3,0,0,0,1,12,47.2,25,11,11,4,22,1,68,4,0,0
543272,0,3,4,0,0,21,5,16,79.1,54,20,19,9,20,1,104,7,0,4
446372,29,18,4,5,3,0,0,0,203.2,141,56,51,21,36,2,265,5,0,4
572070,6,0,2,0,0,0,0,0,27.2,18,8,7,1,7,0,27,0,0,2
571704,0,1,3,0,0,34,4,2,62.2,44,16,16,4,21,0,83,1,0,3
451584,0,4,2,0,0,32,1,0,58.2,39,16,15,6,28,1,79,3,0,7
518858,0,1,0,0,0,0,0,4,11.2,9,3,3,1,6,1,15,1,0,1
477132,27,18,4,1,0,0,0,0,175.0,136,49,45,23,30,0,202,0,2,4
461872,0,6,4,0,0,2,3,27,77.1,58,21,20,6,22,4,91,2,0,2
608716,0,1,1,0,0,1,0,10,34.2,30,13,9,4,18,1,54,0,0,1
476589,0,3,2,0,0,1,3,11,57.1,35,19,15,4,15,2,54,1,0,5
608337,7,3,3,0,0,0,0,0,45.1,31,14,12,8,12,0,34,3,0,2
605154,0,0,0,0,0,0,1,5,51.2,37,15,14,8,11,3,51,5,0,2
543901,1,0,0,0,0,0,0,0,3.2,3,1,1,0,0,0,0,0,0,0
518397,0,5,4,0,0,4,2,9,69.0,62,23,19,3,28,0,59,0,0,3
628452,0,3,3,0,0,28,2,0,76.0,57,22,21,5,27,1,92,1,0,1
456379,0,0,2,0,0,0,0,3,18.0,10,5,5,0,8,0,14,0,0,0
592222,1,4,2,0,0,11,4,8,82.2,71,26,23,5,15,4,56,2,3,0
453286,31,16,6,2,0,0,0,0,200.2,126,62,56,22,55,2,268,11,0,4
595465,0,1,1,0,0,0,0,4,14.1,7,4,4,1,6,0,18,0,0,0
544931,28,15,4,1,1,0,0,0,175.1,131,55,49,13,47,5,204,7,0,3
518617,0,0,0,0,0,1,0,5,10.2,4,3,3,1,10,1,13,0,0,0
475054,0,0,0,0,0,0,0,1,10.2,7,5,3,1,5,0,13,1,0,1
453284,0,3,3,0,0,8,3,15,67.1,40,20,19,7,16,0,86,1,0,4
571473,0,2,1,0,0,0,1,4,17.2,11,5,5,4,7,2,21,3,0,0
501985,0,6,6,0,0,6,3,17,77.2,57,23,22,5,22,3,88,1,0,5
518693,0,2,0,0,0,0,3,12,60.0,48,19,17,3,27,2,59,3,0,2
592815,0,3,3,0,0,0,0,1,42.1,35,12,12,4,11,3,34,2,0,2
608678,0,3,0,0,0,1,4,11,70.1,51,22,20,6,23,3,81,0,0,8
592454,0,2,4,0,0,0,6,15,62.2,53,20,18,4,17,1,96,2,0,5
488984,0,3,5,0,0,1,0,26,58.2,43,18,17,6,14,0,64,1,0,2
502083,0,2,2,0,0,0,0,3,62.0,53,18,18,8,21,0,66,1,0,3
504379,0,5,5,0,0,6,4,22,72.1,58,22,21,5,20,2,72,2,0,1
599998,0,0,0,0,0,0,0,0,13.2,11,6,4,2,8,0,15,1,0,1
592547,2,1,1,0,0,0,0,0,13.2,10,6,4,1,2,0,11,1,0,0
519326,0,4,3,0,0,1,2,21,61.1,59,20,18,4,29,4,58,2,1,3
543734,0,5,1,0,0,2,1,12,85.0,75,31,25,9,19,1,71,3,0,4
472610,0,2,5,0,0,2,5,14,71.1,61,22,21,3,26,5,60,0,0,9
543964,0,6,3,0,0,1,1,12,40.2,30,12,12,2,21,3,35,5,1,1
572888,0,4,3,0,0,9,4,14,67.2,50,21,20,6,34,4,73,4,0,1
606965,0,8,5,0,0,4,6,25,80.2,50,26,24,11,26,3,100,2,0,2
629496,0,1,1,0,0,0,0,0,10.0,5,4,3,2,4,0,9,0,0,0
