mlbam_id,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF
641856,3,1,2,0,0,0,0,0,0,0,0,0,0,0
591712,4,1,2,0,0,0,0,0,0,0,1,0,0,0
665561,8,3,4,0,0,1,3,0,0,1,2,0,0,0
456488,2,0,1,0,0,0,0,1,0,0,0,0,0,0
663330,7,2,3,0,0,0,1,0,0,0,2,0,0,0
661388,10,0,4,1,0,0,1,0,0,0,4,0,0,0
640459,5,0,2,0,0,0,0,0,0,0,1,0,0,0
657434,5,2,2,1,0,0,0,1,0,0,1,0,0,0
663647,85,17,32,7,2,5,11,1,0,9,20,1,0,0
672386,24,4,9,2,0,1,3,0,0,1,4,0,0,0
527049,8,1,3,0,0,0,0,0,0,2,2,0,1,0
578428,142,16,53,17,0,3,24,0,0,3,17,4,0,1
664057,41,11,15,7,1,2,12,2,0,5,11,1,0,0
518934,195,41,71,10,2,10,27,3,0,18,21,2,0,1
543432,11,0,4,0,0,0,0,0,0,0,2,0,0,0
602104,25,3,9,2,0,1,3,0,0,2,6,0,0,0
595943,39,6,14,2,0,1,9,0,1,5,7,1,0,0
669087,31,5,11,3,0,3,4,0,0,2,11,0,0,0
669738,17,2,6,1,0,0,0,0,0,0,4,0,0,0
665742,154,39,54,14,0,13,37,6,2,41,28,1,0,0
650489,129,21,45,4,2,6,24,0,1,7,38,1,1,2
605612,49,6,17,4,0,0,3,0,0,5,11,0,0,0
608700,82,8,28,5,1,1,17,1,0,5,14,2,0,0
518692,214,51,73,23,1,13,53,2,0,45,37,3,0,0
663611,103,8,35,3,0,0,11,2,1,4,7,2,0,0
542303,228,38,77,14,0,18,56,0,0,38,60,0,0,1
664761,160,24,54,11,0,4,23,1,1,16,36,2,0,2
607208,233,46,78,15,4,12,41,12,4,22,36,2,0,2
663905,3,0,1,1,0,0,0,0,0,0,0,1,0,0
456715,18,4,6,1,0,0,2,0,0,3,2,0,0,0
669134,3,2,1,0,0,1,1,0,0,0,2,1,0,0
664314,3,0,1,0,0,0,0,0,0,0,2,0,0,0
620453,3,0,1,0,0,0,1,0,0,1,1,0,0,0
641645,57,6,19,6,0,0,9,2,0,10,17,0,0,1
545350,33,4,11,3,0,2,5,0,0,1,10,0,0,0
663624,126,12,42,5,0,5,23,0,1,11,30,1,0,2
622168,45,6,15,5,0,1,4,2,0,0,11,0,0,0
521692,150,22,50,12,0,11,32,1,0,3,36,2,0,1
