mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
660896,0,0,0,0,0,0,0,0,1.2,1,0,0,0,1,0,1,0,0,0
476454,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2,0,0,0
620454,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,2,1,0,1
458584,0,0,0,0,0,0,0,0,2.0,4,0,0,0,3,1,1,0,0,0
518586,0,0,0,0,0,0,0,0,2.0,2,0,0,0,2,0,1,0,0,1
543089,0,0,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0
435622,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
595939,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0
571657,0,0,0,0,0,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0
576397,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0
643354,0,0,0,0,0,0,0,0,7.2,4,0,0,0,4,1,3,0,0,0
592407,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
543343,0,0,0,0,0,0,0,0,3.1,4,0,0,0,2,0,5,1,0,0
488984,0,0,0,0,0,0,0,1,5.1,2,0,0,0,0,0,5,0,0,0
543376,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
501992,2,0,1,0,0,0,0,0,5.1,7,1,0,0,3,0,5,1,0,1
650633,0,0,0,0,0,0,0,0,2.0,2,1,0,0,0,0,1,0,0,0
435079,0,0,0,0,0,0,0,0,1.0,1,0,0,0,2,0,0,1,0,0
571901,0,0,0,0,0,0,0,1,3.1,2,0,0,0,1,0,5,1,0,0
571912,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,0,3,1,0,0
431145,0,0,0,0,0,0,0,0,4.0,2,0,0,0,0,0,2,0,0,0
605361,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2,0,1,0,0,0
519043,2,0,0,0,0,0,0,0,10.0,3,0,0,0,1,0,9,0,0,0
594951,0,0,0,0,0,0,0,0,1.1,0,0,0,0,3,0,1,0,0,0
606299,0,0,0,0,0,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0
608700,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
543677,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
607223,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
621002,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
446481,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,1,0,0,0
602922,0,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0
467055,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0
543776,0,0,0,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0
607732,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
545358,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
491696,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
642121,0,0,0,0,0,0,0,0,7.1,5,0,0,0,3,0,9,0,0,0
592836,1,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0
605521,0,1,0,0,0,0,0,1,5.1,2,0,0,0,2,0,5,0,0,1
