mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
458677,0,1,1,0,0,0,1,4,34.0,32,22,20,6,16,0,29,1,0,2
623474,0,2,3,0,0,0,2,1,18.2,20,12,11,1,4,1,20,3,1,0
677960,18,4,7,0,0,1,0,0,94.2,101,57,56,20,30,1,72,3,1,2
608723,1,4,1,0,0,0,6,7,57.1,57,35,34,10,28,5,59,1,0,1
669212,18,5,7,0,0,0,0,0,89.1,90,54,53,20,22,0,81,4,1,0
669060,16,3,7,0,0,0,0,0,74.0,85,45,44,15,22,3,46,1,1,2
664141,24,5,13,0,0,0,0,0,124.1,123,75,74,28,38,1,129,9,1,3
641745,26,8,12,0,0,0,0,0,133.2,158,89,80,18,64,1,120,7,0,5
641420,0,0,0,0,0,0,0,0,10.0,13,7,6,3,5,0,7,2,0,0
624418,1,0,0,0,0,0,0,0,3.1,5,2,2,1,4,0,2,1,0,0
660546,0,0,2,0,0,0,0,0,25.0,25,16,15,5,12,1,21,1,0,0
663855,0,0,0,0,0,0,0,3,10.0,5,6,6,0,10,0,10,0,0,3
657624,0,0,0,0,0,0,0,0,5.0,4,3,3,1,2,0,8,0,0,2
571948,0,0,0,0,0,0,0,1,21.2,30,15,13,8,3,0,30,2,0,0
572143,0,1,1,0,0,0,1,4,43.1,49,27,26,5,11,0,28,1,0,2
663465,17,3,12,0,0,0,0,1,124.2,128,80,75,29,31,0,104,4,0,4
592314,24,2,12,0,0,0,0,0,139.0,139,86,84,35,36,0,97,9,0,2
519443,0,1,2,0,0,0,0,4,28.0,36,20,17,4,21,2,25,0,1,1
607200,27,7,9,0,0,0,1,0,133.1,144,90,81,23,48,6,128,4,1,1
680686,13,2,2,0,0,0,0,0,70.2,63,44,43,19,33,3,76,2,0,7
640444,25,4,8,0,0,0,0,0,116.2,126,75,71,25,57,1,111,6,1,3
605541,0,0,1,0,0,0,0,0,18.0,17,12,11,1,11,0,11,2,0,2
592222,0,1,2,0,0,1,0,2,32.2,37,22,20,6,15,1,30,0,0,1
607188,3,0,0,0,0,0,0,0,32.2,39,21,20,5,13,0,32,2,1,3
595411,0,0,1,0,0,1,1,1,14.2,14,11,9,0,9,0,16,4,0,2
669674,5,2,1,0,0,0,0,0,40.2,37,27,25,5,15,0,38,3,0,5
656849,15,2,6,0,0,0,0,0,66.2,64,44,41,11,29,0,69,5,0,6
607457,0,2,0,0,0,0,0,1,13.0,12,8,8,4,8,0,18,2,0,0
594985,0,0,0,0,0,0,0,0,11.1,12,8,7,3,2,0,8,2,0,0
592390,0,2,7,0,0,9,2,7,58.0,45,39,36,12,24,1,83,2,0,2
