mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
613534,0,1,0,0,0,0,0,0,2.1,0,0,0,0,3,0,2,0,0,0
501303,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0
660896,0,0,0,0,0,0,0,0,2.1,2,0,0,0,2,0,2,0,0,0
682027,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0
606115,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0
553902,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2,0,0,0,0,0
673258,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,0,2,0,0,1
670712,0,0,0,0,0,0,0,0,3.0,2,0,0,0,1,0,0,0,0,0
624418,0,0,0,0,0,0,0,1,2.2,2,1,0,0,0,0,1,0,0,2
622379,0,0,0,0,0,0,0,0,3.2,2,0,0,0,0,0,4,0,0,0
630023,1,1,0,0,0,0,0,0,7.0,7,0,0,0,1,0,6,1,0,1
592222,0,0,0,0,0,0,0,0,3.1,1,0,0,0,2,0,2,0,0,0
518586,0,0,0,0,0,0,0,0,2.0,1,0,0,0,1,0,0,0,0,0
572816,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1,0,0,0,0,0
448281,0,0,0,0,0,0,0,2,5.1,1,0,0,0,0,0,6,0,0,0
664871,0,0,0,0,0,0,0,0,6.1,5,0,0,0,3,0,3,1,0,0
663975,0,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,1,0,0,0
656420,2,4,0,0,0,1,1,7,24.1,7,1,0,0,5,0,25,0,0,0
688010,0,0,0,0,0,0,0,0,3.0,1,0,0,0,2,0,1,0,0,0
670102,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0
571704,0,0,0,0,0,0,0,0,4.1,1,0,0,0,4,0,6,0,0,1
503556,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
