mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
676886,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,1,0,0,0
621532,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0
592145,0,0,0,0,0,0,0,0,0.2,1,0,0,0,1,0,1,0,0,0
670712,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0
543056,0,0,0,0,0,0,0,0,2.2,2,0,0,0,3,0,3,0,0,0
676979,0,0,0,0,0,0,0,1,6.0,3,0,0,0,0,0,8,1,0,0
518586,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
571616,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
453943,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
518715,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2,0,1,0,0,0
656492,0,1,0,0,0,0,0,0,1.2,0,0,0,0,0,0,1,0,0,0
641645,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
576397,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
642840,0,0,0,0,0,0,0,0,3.1,3,0,0,0,0,0,2,1,0,0
623168,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
592407,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,0,0,0,1
656548,0,0,0,0,0,0,0,0,0.1,2,0,0,0,1,0,0,0,0,0
605280,0,0,0,0,0,0,0,0,1.1,2,0,0,0,0,0,1,0,0,0
592454,0,0,0,0,0,0,0,1,1.0,1,0,0,0,1,1,3,0,0,0
608348,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
446372,1,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0
669424,0,0,0,0,0,0,0,0,2.0,2,0,0,0,0,0,2,0,0,0
656725,0,0,0,0,0,0,0,0,3.0,1,0,0,0,0,0,2,0,0,0
664682,0,0,0,0,0,0,0,0,2.2,1,0,0,0,4,0,3,1,0,0
573046,0,1,0,0,0,0,0,0,4.0,1,0,0,0,1,0,2,0,0,0
571974,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
608700,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0
642578,0,0,0,0,0,0,0,0,1.2,2,0,0,0,1,0,0,0,0,0
607219,0,1,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
621011,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
595411,0,1,0,0,0,1,0,1,9.2,6,0,0,0,2,0,2,0,0,0
519381,0,0,0,0,0,0,0,0,4.1,1,0,0,0,0,0,5,2,0,0
435522,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0
657097,0,0,0,0,0,0,0,0,10.0,7,2,0,0,5,1,10,0,0,0
669952,0,1,0,0,0,0,0,0,3.0,1,0,0,0,1,0,2,0,0,0
642207,0,4,1,0,0,0,0,9,27.0,8,4,1,1,9,0,53,1,0,3
518617,0,2,0,0,0,0,1,13,21.1,8,2,1,1,12,1,31,1,0,0
606424,0,2,1,0,0,0,0,6,18.1,11,6,1,0,7,1,14,2,1,0
534910,0,1,0,0,0,3,0,5,17.1,4,1,1,0,8,0,19,1,0,2
656557,3,3,0,0,0,0,0,0,17.0,6,2,1,1,9,0,21,1,0,1
623433,0,2,1,0,0,6,0,6,16.1,5,2,1,1,3,0,26,0,0,0
554340,0,3,0,0,0,1,1,4,15.0,9,1,1,0,5,0,19,0,1,0
541640,0,0,0,0,0,1,0,0,14.1,8,1,1,1,4,0,9,0,0,0
517008,0,2,0,0,0,12,1,0,22.1,13,3,2,0,8,0,16,1,0,0
621345,0,1,1,0,0,0,0,5,21.2,15,3,2,1,9,2,24,0,0,1
592473,0,3,0,0,0,1,0,4,19.0,11,2,2,1,4,0,13,0,0,2
607481,0,1,0,0,0,0,0,3,9.1,5,1,1,0,5,0,14,0,0,0
455119,0,1,1,0,0,1,0,6,18.0,8,3,2,1,3,1,20,1,0,0
