mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
592332,9,12,0,0,0,0,0,179.2,183,76,72,28,47,1,174,5,0,8
425492,6,7,0,0,30,7,3,64.2,63,27,26,7,20,3,49,2,1,4
518927,2,1,0,0,1,2,12,44.2,37,18,18,3,21,3,38,3,0,2
519263,2,2,0,0,1,1,3,52.0,41,22,21,4,13,0,46,1,0,2
475054,2,0,0,0,0,1,3,29.2,22,12,12,2,14,1,37,1,0,1
595191,11,14,0,0,0,0,0,197.1,187,88,80,30,42,2,167,8,2,6
472551,1,6,0,0,1,4,8,46.2,40,20,19,4,22,2,41,1,1,1
453178,11,11,0,0,0,0,0,195.2,173,81,80,33,66,1,184,13,0,4
457429,2,5,0,0,1,3,27,46.1,27,23,19,4,20,5,57,2,0,4
543606,10,6,0,0,0,0,0,187.2,170,80,77,29,54,3,166,4,1,3
502748,0,1,0,0,0,0,0,31.2,21,15,13,6,14,0,28,0,0,2
458584,3,4,0,0,0,5,19,41.1,36,17,17,2,13,1,43,0,0,3
518567,3,0,0,0,0,0,0,41.1,36,17,17,7,16,1,33,3,0,0
519151,6,7,0,0,1,5,13,75.1,79,34,31,8,23,2,67,2,0,7
407890,6,5,1,0,0,0,0,116.1,103,53,48,19,28,0,73,3,0,1
476451,12,10,1,1,0,0,0,189.0,173,86,78,24,45,0,154,6,1,6
571473,1,0,0,0,0,0,2,9.2,7,4,4,0,4,0,10,1,0,0
543883,4,4,0,0,3,6,17,60.1,53,26,25,11,15,5,65,1,0,0
622072,1,4,0,0,0,0,0,60.1,56,30,25,5,20,0,66,3,0,4
456068,5,8,0,0,0,0,0,135.0,132,61,56,11,35,1,95,6,0,3
543734,3,5,0,0,0,1,4,84.1,82,36,35,5,23,2,69,3,0,4
605218,0,1,0,0,2,1,6,36.0,15,15,15,4,14,1,52,0,0,5
521230,0,4,0,0,0,1,10,64.2,69,31,27,6,14,3,71,1,0,3
573185,14,8,0,0,0,0,0,191.1,154,80,80,31,73,4,162,11,1,3
501957,16,6,0,0,0,0,0,172.0,155,73,72,19,66,1,140,7,0,9
541640,7,11,0,0,2,4,15,90.2,90,39,38,14,26,5,63,4,0,7
453281,4,0,0,0,2,0,1,62.0,59,30,26,14,11,0,51,0,0,0
503285,3,1,0,0,3,2,10,31.0,25,13,13,6,13,2,38,1,0,0
572020,6,7,0,0,0,0,0,121.0,134,62,51,9,24,3,117,1,0,5
502188,12,11,1,0,0,0,0,203.1,190,88,86,24,54,4,167,1,0,2
433587,11,8,0,0,0,0,0,153.1,138,76,65,19,65,0,122,10,0,6
591693,1,3,0,0,0,2,15,40.0,36,18,17,5,11,1,40,0,1,1
434628,15,10,0,0,0,0,0,166.2,148,77,71,25,53,0,144,9,0,9
456696,3,4,0,0,1,2,15,72.2,77,31,31,11,32,5,80,2,0,6
543045,8,6,0,0,0,0,0,133.1,125,59,57,13,62,7,124,11,0,9
615868,0,0,0,0,0,0,0,2.1,2,1,1,0,1,0,2,0,0,0
643297,1,0,0,0,0,0,3,11.2,16,5,5,2,5,0,11,1,0,0
