mlbam_id,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF
663465,1,1,1,0,0,0,0,0,0,0,0,0,2,0
502043,2,2,2,0,0,0,0,0,0,0,0,0,0,0
571882,1,1,1,0,0,0,0,0,0,0,0,0,0,0
573064,2,0,2,0,0,0,1,0,0,0,0,0,0,0
544836,1,1,1,1,0,0,0,0,0,0,0,0,0,0
600968,1,1,1,0,0,0,1,0,0,1,0,0,0,0
656977,1,0,1,0,0,0,0,0,0,0,0,0,0,0
543359,3,1,2,1,0,0,0,0,0,0,1,0,0,0
543432,6,1,4,1,0,0,1,0,0,0,1,0,0,0
548357,2,0,1,0,0,0,1,0,0,0,0,0,0,0
592145,2,0,1,1,0,0,1,0,0,0,0,0,0,0
460283,2,0,1,0,0,0,1,0,0,0,1,0,0,0
606273,2,0,1,0,0,0,0,0,0,0,1,0,0,0
572863,2,0,1,0,0,0,1,0,0,1,0,0,0,0
623352,2,1,1,0,0,0,0,0,0,0,1,0,0,0
453178,2,0,1,0,0,0,0,0,0,0,0,0,0,0
605347,2,1,1,1,0,0,2,0,0,0,1,0,0,0
543734,4,0,2,0,0,0,0,0,0,0,1,0,1,0
642701,2,0,1,1,0,0,2,0,0,0,1,0,0,0
572227,4,0,2,0,0,0,1,0,0,0,1,0,0,0
519144,7,1,3,2,0,0,3,0,0,0,3,0,0,0
543089,5,0,2,0,0,0,2,0,0,0,1,0,0,1
657145,5,0,2,1,0,0,1,0,0,1,1,0,0,0
624507,8,2,3,0,0,2,3,0,0,0,5,0,0,0
553902,93,9,33,4,1,3,21,0,0,2,3,1,0,1
605141,520,129,180,47,5,32,80,30,6,81,91,8,0,5
501571,59,9,20,1,1,0,6,3,1,3,9,1,0,1
656257,3,1,1,0,0,0,0,0,0,0,1,0,1,0
595918,3,1,1,0,0,1,1,0,0,0,1,0,1,0
664869,3,1,1,0,0,0,0,0,0,0,0,0,0,0
543208,3,0,1,1,0,0,0,0,0,0,1,0,0,0
594840,3,0,1,0,0,0,0,0,0,0,0,0,0,0
457918,6,2,2,0,0,0,0,0,0,1,3,0,0,0
628356,6,0,2,0,0,0,0,0,0,0,1,0,0,0
641745,3,1,1,0,0,0,0,0,0,0,1,0,0,0
453281,3,0,1,0,0,0,0,0,0,0,2,0,1,0
592547,3,0,1,0,0,0,0,0,0,0,1,0,0,0
596043,3,1,1,0,0,0,1,0,0,0,1,0,0,0
501985,3,0,1,1,0,0,0,0,0,0,1,0,0,0
664702,9,4,3,0,0,1,1,2,0,1,0,0,0,0
573186,3,0,1,0,0,0,0,0,0,0,1,0,0,0
502110,569,111,188,37,2,43,130,6,1,69,146,4,0,7
643446,225,35,74,11,6,3,19,7,1,14,24,5,4,0
592885,574,118,187,34,7,36,110,22,4,68,135,7,0,2
572228,143,30,46,5,0,15,36,0,0,17,43,1,0,0
502082,84,11,27,6,1,1,9,1,0,8,12,2,1,0
514888,534,84,169,29,2,13,61,17,4,55,79,6,3,1
642133,70,10,22,9,0,4,14,0,0,2,21,0,0,1
457759,365,62,114,31,1,14,52,2,1,47,54,12,0,2
545361,471,101,147,24,4,39,79,24,2,122,124,10,0,4
650490,109,15,34,5,2,1,15,0,0,11,19,0,0,0
571697,584,86,181,30,3,23,92,4,2,42,125,4,3,5
518692,618,94,191,44,4,23,98,10,3,76,132,7,0,6
488726,570,89,176,36,2,17,76,12,3,48,60,5,1,6
543685,529,88,163,44,2,24,92,2,1,55,82,5,0,8
456715,539,90,166,25,2,10,38,30,7,71,94,8,0,2
467092,382,39,117,22,1,15,70,0,0,32,80,0,0,2
450314,455,67,139,28,3,9,58,3,4,55,60,2,1,7
500874,534,64,163,30,0,17,83,0,3,49,104,2,2,3
593160,632,88,192,43,3,12,60,45,10,61,114,6,2,6
516416,586,91,178,29,3,10,63,20,11,32,69,4,4,6
429664,310,44,94,22,0,10,50,0,0,32,47,4,0,2
435062,152,17,46,14,0,4,12,1,1,5,29,2,0,1
594809,319,55,96,18,1,5,33,9,1,38,64,11,2,0
605612,10,2,3,0,0,0,0,1,0,0,2,0,0,0
608566,60,4,18,0,0,1,5,0,0,0,11,0,5,0
623205,10,3,3,1,0,0,0,1,0,1,3,1,0,0
621563,487,62,146,33,6,7,61,16,4,37,96,9,2,10
572816,504,65,151,35,7,13,55,8,3,21,80,4,0,4
608385,281,38,84,16,0,7,43,0,0,49,46,2,1,1
