mlbam_id,GS,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
613534,0,0,0,0,0,0,0,0,1.0,1,0,0,0,3,0,0,0,0,0
594742,0,0,0,0,0,0,0,0,3.0,2,0,0,0,1,0,2,0,0,0
488671,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0
607468,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,2,0,0,1
605156,0,0,0,0,0,0,0,0,2.2,1,0,0,0,2,0,1,0,0,0
571577,0,0,0,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0,0,0
571602,0,0,0,0,0,0,0,0,3.0,1,0,0,0,1,0,2,0,0,0
641525,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,1,0,0,0
640447,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
608654,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0
594824,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
641598,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
446386,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
664023,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
624586,0,0,0,0,0,0,0,0,0.1,1,0,0,0,1,0,0,0,0,0
607216,0,0,0,0,0,0,0,0,3.0,1,0,0,0,2,0,0,0,0,0
571871,0,0,0,0,0,0,0,0,2.0,1,0,0,0,1,0,2,0,0,0
434778,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0
591672,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,1
621052,1,0,0,0,0,0,0,0,4.0,3,0,0,0,2,0,2,1,0,0
448602,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
519203,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
621002,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
607387,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0
467055,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
624636,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
628711,0,0,0,0,0,0,0,0,4.0,1,0,0,0,0,0,7,0,0,0
502143,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0
547007,0,0,0,0,0,0,0,0,4.0,1,0,0,0,1,0,0,0,0,0
488818,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
605525,0,0,0,0,0,0,0,1,16.2,8,1,1,1,5,0,14,0,0,1
595014,0,9,2,0,0,38,5,0,80.1,46,12,7,2,21,3,100,1,0,6
592712,2,0,0,0,0,0,0,5,9.1,6,2,1,0,11,1,7,1,0,1
543508,0,1,0,0,0,0,0,1,8.2,5,1,1,0,5,1,7,0,0,0
542888,0,0,1,0,0,1,0,2,14.2,9,2,2,1,3,1,15,3,0,0
595345,0,0,0,0,0,0,0,0,7.1,4,1,1,1,0,0,8,0,0,0
623364,0,0,0,0,0,0,0,0,7.0,3,1,1,1,0,0,10,0,0,0
502026,0,8,1,0,0,15,5,18,76.2,49,12,11,5,27,4,89,1,0,4
600944,0,1,0,0,0,0,0,0,6.2,6,2,1,1,2,0,6,0,0,0
424144,0,1,1,0,0,0,0,15,32.1,17,6,5,1,7,3,43,2,0,1
606995,0,0,0,0,0,0,0,0,12.1,5,2,2,1,9,0,11,0,0,0
453344,0,0,0,0,0,22,2,0,30.2,24,5,5,2,9,0,31,1,0,1
600917,0,2,3,0,0,12,4,15,57.2,24,16,10,1,25,1,85,3,0,2
448281,0,3,3,0,0,25,1,1,45.0,21,8,8,3,6,1,60,2,0,1
518489,0,2,0,0,0,0,2,10,33.2,19,6,6,2,7,0,29,0,0,1
573064,0,3,0,0,0,0,1,0,33.0,24,7,6,5,10,3,29,2,1,0
642073,0,0,0,0,0,0,0,1,16.1,8,3,3,1,10,1,17,2,0,0
594798,32,10,9,1,0,0,0,0,217.0,152,48,41,10,46,3,269,5,0,2
664641,1,0,0,0,0,0,0,0,5.0,6,1,1,0,4,0,5,0,0,0
622075,0,0,0,0,0,0,0,3,14.2,15,5,3,1,4,0,14,0,0,1
448609,0,3,1,0,0,0,0,10,38.2,27,8,8,1,13,0,42,1,0,2
656977,0,1,0,0,0,0,0,1,14.1,5,3,3,2,9,2,21,0,0,3
605483,31,21,5,0,0,0,0,0,180.2,112,41,38,16,64,2,221,1,0,13
542947,0,3,0,0,0,0,1,9,32.2,36,7,7,0,4,1,15,1,0,1
453172,0,4,3,0,0,7,4,15,78.2,57,17,17,4,23,2,59,2,0,5
621242,0,0,4,0,0,57,4,0,73.1,41,17,16,5,17,0,124,6,1,3
547943,15,7,3,0,0,0,0,0,82.1,68,23,18,9,15,1,89,1,0,0
543521,0,6,2,0,0,0,1,12,72.1,45,18,16,6,21,0,94,5,0,0
519008,0,2,2,0,0,1,0,1,72.0,64,18,16,4,22,3,42,0,0,2
453329,16,7,2,1,0,0,0,0,98.1,80,25,22,9,22,1,81,3,0,1
606167,4,2,0,0,0,0,0,0,22.1,17,5,5,1,9,0,13,2,0,2
641871,0,0,0,0,0,6,1,2,17.2,14,4,4,1,9,1,16,1,0,1
621381,5,3,4,0,0,0,0,7,61.1,39,16,14,6,21,1,69,3,0,2
519242,27,12,4,0,0,0,0,0,158.0,102,39,37,11,34,0,237,14,0,4
527055,0,2,2,0,0,16,2,1,38.1,30,9,9,4,15,1,40,2,0,4
489446,0,5,3,0,0,12,1,16,63.0,41,15,15,6,17,0,90,4,0,2
670036,1,0,0,0,0,0,0,1,8.1,13,2,2,0,2,0,4,1,0,2
518553,0,4,3,0,0,4,3,25,70.1,45,19,17,5,28,4,78,9,0,2
664285,5,4,1,0,0,0,0,0,37.0,22,10,9,3,24,0,34,4,0,5
451661,0,2,2,0,0,2,1,8,41.0,28,10,10,4,11,1,33,0,0,0
545333,27,12,6,0,0,1,0,0,175.1,134,51,43,9,57,2,221,9,0,12
542289,0,0,0,0,0,1,0,0,4.0,2,2,1,0,3,0,1,1,0,1
571670,0,6,3,0,0,0,0,7,64.0,57,17,16,3,23,6,58,1,2,1
607572,0,0,0,0,0,0,0,0,4.0,5,1,1,0,3,0,1,1,0,0
621249,1,0,1,0,0,0,0,0,4.0,2,1,1,1,3,0,3,0,0,0
467008,0,6,1,0,0,13,4,9,59.2,38,15,15,4,21,3,57,5,0,3
502028,0,1,0,0,0,0,0,4,11.2,8,3,3,1,7,2,10,1,0,0
591693,0,3,1,0,0,1,1,12,42.2,34,14,11,4,15,2,42,1,0,4
657624,3,2,0,0,0,0,0,2,23.0,15,6,6,3,7,0,29,2,0,0
532077,0,2,2,0,0,21,1,2,38.0,33,10,10,1,4,0,32,4,0,3
605400,33,17,6,0,0,0,0,0,212.1,149,57,56,17,58,3,224,7,1,4
628452,0,2,5,0,0,30,4,0,72.0,52,22,19,12,25,2,80,2,0,2
605195,0,3,2,0,0,2,1,16,60.1,45,18,16,3,23,3,65,7,2,9
621237,0,1,6,0,0,8,4,31,64.0,42,21,17,1,29,4,80,1,0,2
501817,0,2,0,0,0,0,0,1,26.1,19,11,7,2,5,0,26,2,0,0
622505,0,1,1,0,0,0,0,3,30.0,25,8,8,5,6,0,21,0,0,2
458584,0,2,0,0,0,1,1,11,33.1,26,10,9,1,16,1,34,0,0,4
493603,0,6,4,0,0,6,5,34,77.2,41,25,21,5,36,5,112,6,0,7
623352,0,6,1,0,0,12,5,21,81.1,36,23,22,9,30,0,143,1,1,0
516969,0,2,3,0,0,17,2,2,44.1,43,12,12,6,10,0,38,1,1,0
673633,0,4,3,0,0,3,4,32,66.1,49,22,18,6,23,4,59,2,1,6
547973,0,3,0,0,0,32,2,1,51.1,24,15,14,2,30,0,93,5,0,9
623184,0,8,1,0,0,0,4,14,58.2,45,17,16,4,12,0,57,3,0,3
593144,0,4,3,0,0,0,0,15,69.1,55,19,19,5,19,3,88,5,0,11
606625,0,5,2,0,0,1,5,12,65.0,34,20,18,4,37,4,79,0,0,5
476594,0,1,1,0,0,0,1,4,39.2,37,13,11,1,13,1,38,2,1,3
643338,0,8,3,0,0,0,4,13,75.2,64,22,21,9,15,2,94,1,0,3
434378,34,16,9,1,1,0,0,0,214.0,156,63,60,28,37,0,290,8,2,5
453286,33,18,7,2,1,0,0,0,220.2,150,66,62,23,51,4,300,12,1,4
456696,0,5,2,0,0,0,6,15,64.0,46,20,18,6,17,1,65,5,2,3
519151,0,2,1,0,0,2,6,21,71.0,57,21,20,6,22,1,101,3,0,8
519293,0,2,3,0,0,14,4,6,53.0,37,18,15,3,15,4,71,0,0,2
445926,0,5,2,0,0,5,1,7,95.1,84,28,27,13,17,1,92,0,0,1
489119,16,5,2,0,0,0,0,0,80.2,71,28,23,3,27,1,50,5,0,1
