mlbam_id,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF
458006,1,1,1,1,0,0,0,0,0,0,0,0,0,0
621244,1,0,1,0,0,0,0,0,0,0,0,0,0,0
643297,1,0,1,0,0,0,0,0,0,0,0,0,0,0
518715,1,0,1,0,0,0,0,0,0,0,0,0,0,0
543548,2,0,2,0,0,0,0,0,0,0,0,0,0,0
424144,3,1,2,1,0,0,0,0,0,0,0,0,0,0
570639,3,5,2,1,0,0,0,4,2,0,1,0,0,0
621389,4,1,2,0,0,0,0,0,0,0,0,0,0,0
571602,2,1,1,0,0,0,1,0,0,0,1,0,0,0
451596,4,1,2,0,0,0,0,0,0,1,1,0,1,0
543308,2,1,1,1,0,0,0,0,0,0,0,0,0,0
502706,2,0,1,0,0,0,0,0,0,0,1,0,0,0
476633,8,4,4,1,0,2,4,0,0,0,3,0,0,0
605508,2,0,1,0,0,0,0,0,0,0,0,0,0,0
491696,25,4,12,2,0,1,5,0,0,2,5,2,0,0
641958,18,1,8,1,0,0,2,0,1,1,1,0,0,0
500874,16,4,7,1,0,0,1,0,0,2,1,0,0,0
607732,15,0,6,1,0,0,2,1,0,0,4,0,0,0
458708,5,1,2,1,0,0,0,0,0,0,2,0,1,0
596133,13,1,5,0,0,0,0,0,0,0,4,0,0,0
592669,35,8,13,3,0,4,14,0,0,1,5,0,0,0
641820,14,3,5,1,0,3,5,0,0,0,4,1,0,0
518934,552,104,192,32,8,11,66,11,7,66,80,3,8,6
502517,531,88,184,47,5,25,104,5,3,35,57,8,0,8
607208,307,53,105,14,8,13,40,33,6,14,59,1,0,2
514888,640,108,216,42,5,24,96,30,10,60,70,7,3,7
645848,3,0,1,1,0,0,0,0,0,1,0,0,0,0
548357,3,1,1,0,0,0,0,0,0,0,0,0,0,0
517448,3,0,1,0,0,0,1,0,0,0,1,0,0,0
608325,6,2,2,2,0,0,2,0,0,0,2,1,0,0
506433,3,1,1,0,0,1,1,0,0,0,1,0,0,0
501822,3,0,1,0,0,0,1,0,0,0,0,0,0,0
493128,21,3,7,2,0,0,1,2,0,4,5,1,0,0
621121,3,1,1,0,0,0,0,0,0,0,0,0,0,0
527048,3,0,1,0,0,0,0,0,0,0,1,0,1,0
519168,3,1,1,0,0,1,1,0,0,0,1,0,0,0
608061,105,10,35,4,1,3,16,0,0,3,17,1,0,4
448605,24,4,8,1,0,2,7,0,1,2,10,0,0,0
502327,3,0,1,0,0,0,0,0,0,0,1,0,0,0
570649,3,0,1,0,0,0,0,0,0,0,2,0,0,0
458015,556,101,181,34,2,29,97,8,1,108,120,5,0,8
606299,241,25,78,8,2,3,25,21,10,7,33,5,0,3
453568,578,111,187,35,5,29,82,17,9,43,102,13,3,4
600474,28,6,9,2,0,2,4,0,0,5,3,1,0,0
516416,637,102,203,41,7,20,64,33,10,39,101,12,4,2
605141,672,122,214,42,5,31,113,26,4,49,80,2,0,7
456030,633,105,201,36,1,15,74,7,4,61,73,0,1,3
571681,41,2,13,1,0,0,5,0,2,3,8,0,0,0
408234,595,92,188,31,1,38,108,0,0,75,116,4,0,5
621311,222,42,70,12,4,7,24,5,0,15,59,0,0,0
457727,349,65,110,14,5,4,43,15,6,36,69,3,2,1
545361,549,123,173,32,5,29,100,30,7,116,137,11,0,5
120074,537,79,169,48,1,38,127,2,0,80,86,2,0,7
592808,105,19,33,9,1,3,16,1,1,8,25,1,0,1
592731,51,9,16,2,0,2,7,1,0,2,22,0,1,0
570481,16,2,5,0,0,0,0,0,1,1,8,0,0,0
608070,565,84,176,46,3,11,76,22,7,44,62,4,1,4
454975,45,6,14,0,3,0,2,1,0,0,11,0,0,0
516782,489,71,152,34,5,9,46,47,12,23,104,16,1,0
506702,252,36,78,17,2,7,35,0,0,23,66,2,4,2
608369,627,105,193,40,5,26,72,3,3,54,133,4,0,2
474865,13,1,4,0,0,0,0,0,1,0,3,0,2,0
542513,13,1,4,0,0,1,4,0,0,0,2,0,0,0
425877,534,56,164,38,1,8,58,3,2,39,63,6,0,2
467092,482,58,148,25,0,22,80,0,0,35,79,2,0,4
502110,460,69,141,35,2,22,68,1,2,49,128,3,0,5
571578,49,7,15,3,1,0,4,0,1,1,14,0,3,0
460075,511,80,156,23,3,30,91,16,5,46,98,4,0,3
445988,600,70,183,37,3,8,75,2,2,49,69,4,0,5
592387,269,36,82,20,0,13,37,0,0,12,60,1,1,0
488862,517,68,157,28,1,5,39,0,3,40,67,3,3,4
592663,509,60,154,31,0,11,48,12,4,28,100,5,0,3
462101,506,75,153,31,7,8,69,24,8,47,70,4,4,7
621020,129,20,39,7,1,3,17,3,0,13,34,0,1,2
518692,589,102,178,43,6,34,91,6,1,89,171,10,0,5
449181,457,52,138,24,4,5,43,14,3,13,105,7,3,3
547957,305,36,92,16,1,6,22,1,3,36,51,4,0,1
624428,146,21,44,8,1,2,11,4,1,12,26,1,0,1
596019,604,99,182,30,3,15,78,19,5,57,88,5,3,15
134181,583,89,175,31,1,32,104,1,1,48,66,6,0,3
468504,10,1,3,0,0,0,1,0,0,0,1,0,0,0
581527,410,54,123,28,1,11,50,4,1,20,87,0,1,1
649557,404,71,121,28,3,17,65,4,4,41,60,7,2,6
455369,87,9,26,6,1,1,10,0,0,2,16,2,0,0
518586,67,6,20,3,0,1,7,1,0,1,13,0,0,0
596142,201,34,60,12,0,20,42,1,0,24,57,2,0,2
471865,584,87,174,42,2,25,100,2,2,46,129,1,0,1
429664,655,107,195,33,2,39,103,0,1,47,100,8,0,5
592885,578,78,172,38,3,21,98,9,4,72,138,4,0,5
502671,579,106,172,33,3,24,95,32,5,110,150,7,0,8
592863,27,4,8,1,0,0,2,0,0,1,12,0,1,0
466320,591,70,175,42,5,14,86,2,0,47,69,0,3,5
571980,321,52,95,18,5,14,43,6,3,36,112,4,2,2
136860,552,73,163,33,0,29,93,1,0,35,101,2,0,4
643217,105,16,31,11,1,2,14,1,0,10,25,1,1,1
571448,618,116,182,35,6,41,133,2,3,68,103,2,0,8
593428,652,115,192,34,1,21,89,13,4,58,123,6,0,3
514917,547,67,161,14,11,6,39,17,13,66,116,2,5,2
593523,51,11,15,1,0,1,5,1,0,5,10,0,0,0
592518,640,105,188,40,1,37,96,0,3,48,120,3,0,5
547989,624,67,183,32,1,25,100,0,2,47,125,15,0,9
605509,106,13,31,4,0,0,6,5,1,12,18,1,1,0
592178,603,121,176,35,3,39,102,8,5,75,154,18,0,3
518960,490,67,143,24,3,24,81,5,0,47,100,3,0,4
435180,24,2,7,0,0,0,1,0,0,0,4,0,0,0
519203,583,94,170,43,4,32,109,3,5,74,108,16,0,3
542255,522,85,152,24,7,3,29,16,7,45,68,4,5,2
445055,347,49,101,26,1,2,26,2,0,19,78,6,1,0
408252,550,74,160,34,1,11,64,14,8,18,68,8,2,6
400085,327,48,95,15,5,1,22,10,2,30,42,3,3,2
400121,553,65,160,22,0,27,86,0,0,50,90,4,0,3
452254,395,58,114,23,1,13,57,1,1,43,95,1,0,3
435079,618,117,178,29,4,28,83,14,6,45,115,13,0,3
456665,264,35,76,13,1,13,35,0,3,34,54,3,0,1
457763,539,82,155,33,2,14,80,6,1,64,68,3,0,8
456488,553,73,159,24,4,16,67,40,10,29,88,5,2,6
456715,397,56,114,19,1,9,56,14,5,31,84,2,0,4
443558,589,96,169,27,1,43,105,2,0,62,159,9,0,7
502143,471,72,135,22,1,17,51,1,1,41,115,3,0,2
546318,583,87,167,21,6,15,49,25,7,63,134,6,2,2
500208,405,55,116,26,1,15,71,1,1,30,63,5,0,3
434670,549,81,157,28,1,30,111,9,3,60,120,7,0,4
502082,385,43,110,25,5,8,57,6,0,23,70,3,3,4
571718,42,1,12,4,1,0,5,0,0,2,14,0,0,0
492802,14,2,4,2,0,0,3,0,0,0,3,0,1,0
457918,7,2,2,0,0,0,0,0,0,0,3,0,3,0
501888,7,1,2,0,0,0,2,0,0,1,0,1,1,0
434538,42,2,12,1,0,1,5,0,0,0,16,0,0,0
547004,7,1,2,0,1,0,2,1,0,0,2,0,0,0
542340,589,92,168,38,3,19,63,62,18,79,174,2,5,4
408236,568,69,162,31,0,18,90,0,2,55,117,4,0,6
435622,625,107,178,29,3,22,86,21,6,44,160,5,0,3
592206,411,54,117,25,4,18,58,1,1,28,111,3,0,5
460077,123,18,35,10,1,4,16,0,0,8,36,0,2,0
594809,619,91,176,29,9,14,59,14,5,63,115,14,7,3
518626,577,122,164,32,5,37,99,7,1,109,119,9,2,3
456714,250,27,71,18,0,5,35,0,0,21,42,0,0,3
543302,148,21,42,5,4,6,28,4,0,16,44,0,1,1
543281,487,57,138,25,7,4,59,19,4,18,76,5,4,8
493114,417,63,118,24,4,4,28,7,9,34,45,9,5,1
593160,311,44,88,22,3,2,29,8,3,19,72,0,1,1
641313,410,57,116,22,6,9,30,10,2,13,117,1,6,1
622194,92,8,26,6,1,1,14,0,0,8,24,0,0,1
448602,393,61,111,24,0,14,53,1,2,42,112,4,0,2
592273,461,59,130,31,1,16,53,1,1,31,100,3,0,4
573135,298,33,84,14,0,8,38,11,5,13,62,3,2,3
575929,252,33,71,14,1,12,35,2,2,26,67,4,0,1
593871,245,24,69,15,4,4,27,4,3,17,46,3,2,3
435522,412,57,116,9,1,23,55,3,1,42,84,1,0,3
502210,398,53,112,17,1,10,37,8,3,39,56,0,0,1
592743,448,48,126,22,2,4,44,10,1,28,38,2,1,4
452678,521,65,146,30,1,23,62,5,1,38,103,7,0,2
543257,332,49,93,19,1,11,37,2,3,55,96,2,0,0
493316,479,72,134,25,1,31,86,3,1,51,108,7,0,6
518618,351,39,98,20,5,7,42,1,0,32,84,24,0,5
518490,61,8,17,3,0,1,7,0,0,3,17,0,0,0
572122,597,89,166,36,3,30,99,3,1,69,108,8,0,2
489232,90,6,25,8,0,2,15,1,0,16,22,2,3,1
543068,407,51,113,25,2,16,69,2,3,24,75,7,0,5
502481,299,46,83,14,8,1,25,30,7,26,39,3,8,1
594838,220,26,61,12,1,2,13,3,0,15,46,1,2,2
572008,437,52,121,24,11,5,49,21,2,20,87,5,2,2
546991,112,14,31,9,1,3,14,0,0,5,20,0,0,0
434636,495,71,137,24,5,12,55,15,4,42,66,0,0,3
451594,456,84,126,25,7,13,48,13,4,79,124,11,1,4
594694,58,14,16,3,0,1,7,3,0,8,12,0,0,0
455759,203,29,56,18,0,9,24,4,2,21,50,3,0,0
544369,562,68,155,32,2,20,70,7,1,19,82,6,5,5
594824,214,33,59,11,0,3,17,1,1,38,50,4,0,1
543401,610,91,168,41,4,23,82,15,3,60,146,6,5,7
457759,556,79,153,34,3,27,90,4,1,48,107,10,0,8
592592,40,5,11,5,0,2,4,0,0,4,9,1,0,0
474832,542,77,149,41,8,17,82,0,4,104,148,5,0,4
543063,553,67,152,28,11,12,84,7,0,57,115,4,0,9
607043,73,12,20,1,0,1,6,0,0,6,20,1,0,0
621043,577,76,158,36,3,20,96,13,3,75,139,5,0,3
596144,475,49,130,28,1,12,46,2,0,32,96,0,1,2
605137,128,18,35,8,0,3,19,0,1,21,19,0,0,3
446334,633,81,173,41,4,36,98,0,3,42,144,3,0,7
572039,582,86,159,35,3,22,85,7,5,51,133,12,1,2
595879,421,50,115,19,1,14,59,12,3,15,108,11,1,2
608596,44,8,12,2,0,5,13,1,0,4,19,1,0,0
611177,532,65,145,29,0,14,65,3,2,24,93,6,0,0
541650,404,50,110,18,3,13,56,34,7,18,94,1,3,4
630111,530,72,144,30,1,31,83,2,4,31,136,1,0,1
450314,523,94,142,31,3,18,76,6,4,96,82,4,4,4
596115,372,67,101,21,4,27,72,8,5,35,130,5,2,1
